Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1304.2395,Streptococcus salivarius 08-1_01,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,08-1_01,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247541,,,JBKSOI000000000,,,Illumina NextSeq,4.292040916123635x,SPAdes v. 3.14.0,,,351,1895683,40.204617,76,7711,37,2,,2385,98.5,91.1,20.9,97.2,,infant stool,,12/28/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-1,sample_type:metagenomic assembly,,2025-04-18T22:00:46.943Z,2025-04-18T22:00:46.943Z
1304.2396,Streptococcus salivarius 08-1_12,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,08-1_12,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247552,,,JBKSPE000000000,,,Illumina NextSeq,28.23451142995042x,SPAdes v. 3.14.0,,,34,2096772,39.8207,6,119461,35,2,,2003,99.1,97.8,2.8,97.8,,infant stool,,6/18/13,2013,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-1,sample_type:metagenomic assembly,,2025-04-18T21:50:12.406Z,2025-04-18T21:50:12.406Z
1304.2397,Streptococcus salivarius 08-1_27,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,08-1_27,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247567,,,JBKSQK000000000,,,Illumina NextSeq,12.34917173303532x,SPAdes v. 3.14.0,,,57,1823627,40.140495,8,88730,11,,,1782,96.3,95.6,1.1,89.4,,infant stool,,1/15/18,2018,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-1,sample_type:metagenomic assembly,,2025-04-18T21:54:12.307Z,2025-04-18T21:54:12.307Z
1304.24,Streptococcus salivarius 08-2_18,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,08-2_18,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247589,,,JBKSTC000000000,,,Illumina NextSeq,10.714308857733466x,SPAdes v. 3.14.0,,,385,1746869,39.97849,66,6072,11,,,1914,93.4,90.2,13.1,82.4,,infant stool,,12/18/12,2012,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T22:11:32.336Z,2025-04-18T22:11:32.336Z
1304.2399,Streptococcus salivarius 08-2_30,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,08-2_30,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245547,,,JBKSRS000000000,,,Illumina NextSeq,78.79629536714033x,SPAdes v. 3.14.0,,,35,2272074,39.65262,5,181803,39,4,,2190,99.7,99.4,1,100,,infant stool,,10/11/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T21:55:28.149Z,2025-04-18T21:55:28.149Z
1304.2398,Streptococcus salivarius 08-2_44,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,08-2_44,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245561,,,JBKSRA000000000,,,Illumina NextSeq,39.95826101180892x,SPAdes v. 3.14.0,,,40,2151849,39.890404,6,127713,22,2,,2065,99.7,99.4,0.5,100,,infant stool,,7/30/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T21:58:24.981Z,2025-04-18T21:58:24.981Z
1304.2005,Streptococcus salivarius 1001095st1_G4_1001095IJ_161003,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,1001095st1_G4_1001095IJ_161003,,,,,,,,,,,,,,,,,,,,Good,2023-01-30T00:00:00Z,,,PRJNA880610,SAMN31322933,GCA_028325765.1,,JAQMJT000000000,,,Illumina HiSeq,26.073790043805616x,SPAdes v. 3.10.1,,,38,2360545,39.660564,5,139814,50,4,,2219,99.6,99.1,0.8,100,,,,10/3/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:46:39.267Z,2023-02-15T03:46:39.267Z
1304.2203,Streptococcus salivarius 1001175B_160314_H3,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,1001175B_160314_H3,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532680,GCA_015553245.1,,JADNGE000000000,,,Illumina HiSeq,86.01x,SPAdes v. 3.10.1,,,43,2178991,39.637253,7,106930,43,3,,2034,99.7,99.3,,100,,stool,,3/14/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:33:02.699Z,2024-02-12T14:33:02.699Z
1304.2002,Streptococcus salivarius 1001216st2_A8_1001216I_160404,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,1001216st2_A8_1001216I_160404,,,,,,,,,,,,,,,,,,,,Good,2023-01-30T00:00:00Z,,,PRJNA880610,SAMN31322934,GCA_028325745.1,,JAQMJS000000000,,,Illumina HiSeq,25.605308821634893x,SPAdes v. 3.10.1,,,35,2324099,39.46394,5,204532,44,3,,2172,99.7,99.1,0.8,100,,,,4/4/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:45:50.937Z,2023-02-15T03:45:50.937Z
1304.2011,Streptococcus salivarius 1001216st2_H6_1001216I_160404,,1304,131567;2;1783272;1239;91061;186826;1300;1301;1304,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,WGS,1001216st2_H6_1001216I_160404,,,,,,,,,,,,,,,,,,,,Good,2023-01-30T00:00:00Z,,,PRJNA880610,SAMN31322935,GCA_028325885.1,,JAQMJR000000000,,,Illumina HiSeq,28.533034265012738x,SPAdes v. 3.10.1,,,29,2121166,39.984715,4,268613,44,3,,1963,99.7,99.4,,100,,,,4/4/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:46:41.130Z,2023-02-15T03:46:41.130Z
