Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
28116.2628,Bacteroides ovatus 08-2_01,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,08-2_01,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247572,,,JBKSRY000000000,,,Illumina NextSeq,88.02830484778082x,SPAdes v. 3.14.0,,,60,5734954,41.638985,10,163652,61,5,,4595,96.9,93.8,5,92.3,,infant stool,,12/28/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T22:05:46.501Z,2025-04-18T22:05:46.501Z
28116.247,Bacteroides ovatus 1001095H_141210_D4,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001095H_141210_D4,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532458,GCA_015554165.1,,JADNHX000000000,,,Illumina HiSeq,21.87x,SPAdes v. 3.10.1,,,112,7360076,42.30468,15,138490,69,3,,6183,99.4,98.6,0.4,100,,stool,,12/10/14,2014,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:36:18.233Z,2024-02-12T14:36:18.233Z
28116.2454,Bacteroides ovatus 1001099B_141217_E5,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001099B_141217_E5,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532859,GCA_015547195.1,,JADMUQ000000000,,,Illumina HiSeq,23.48x,SPAdes v. 3.10.1,,,103,6690361,41.874443,13,175864,64,8,,5429,99.5,98.5,0.2,100,,stool,,12/17/14,2014,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:22:09.723Z,2024-02-12T14:22:09.723Z
28116.2459,Bacteroides ovatus 1001136B_160425_E5,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001136B_160425_E5,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532829,GCA_015549065.1,,JADMYG000000000,,,Illumina HiSeq,27.51x,SPAdes v. 3.10.1,,,121,6937307,41.862812,15,146577,76,5,,5719,99.4,98.7,,100,,stool,,4/25/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:26:40.281Z,2024-02-12T14:26:40.281Z
28116.246,Bacteroides ovatus 1001175B_160314_D1,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001175B_160314_D1,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533340,GCA_015549705.1,,JADMZK000000000,,,Illumina HiSeq,27.52x,SPAdes v. 3.10.1,,,63,6752440,41.886536,10,248696,64,5,,5410,99.6,99.1,,100,,stool,,3/14/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:27:15.933Z,2024-02-12T14:27:15.933Z
28116.2566,Bacteroides ovatus 1001217st1_E11_1001217B_150727,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001217st1_E11_1001217B_150727,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376018,GCA_039761555.1,,JBDMXA000000000,,,Illumina,13.9x,SPAdes v. v3.14.1,,,248,6755789,41.982307,43,49545,65,4,,5661,99.3,98.5,2.4,99.8,,rich broth,,7/27/15,2015,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-08T01:05:46.474Z,2024-07-08T01:05:46.474Z
28116.2467,Bacteroides ovatus 1001254J_160919_H11,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001254J_160919_H11,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533080,GCA_015552185.1,,JADNEC000000000,,,Illumina HiSeq,27.84x,SPAdes v. 3.10.1,,,151,6824596,41.809097,19,123017,70,4,,5865,99.6,98.8,0.9,100,,stool,,9/19/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:31:44.259Z,2024-02-12T14:31:44.259Z
28116.2466,Bacteroides ovatus 1001262B_160229_F6,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001262B_160229_F6,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533118,GCA_015551835.1,,JADNDM000000000,,,Illumina HiSeq,27.59x,SPAdes v. 3.10.1,,,139,6727302,41.881615,18,122179,62,5,,5699,99.6,98.8,0.9,100,,stool,,2/29/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:30:58.073Z,2024-02-12T14:30:58.073Z
28116.2456,Bacteroides ovatus 1001270H_150608_A4,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001270H_150608_A4,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533153,GCA_015548155.1,,JADMWJ000000000,,,Illumina HiSeq,22.33x,SPAdes v. 3.10.1,,,66,7032930,41.9622,10,229846,60,3,,5852,99.5,99.1,,100,,stool,,6/8/15,2015,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:24:44.122Z,2024-02-12T14:24:44.122Z
28116.2564,Bacteroides ovatus 1001271st1_D4_1001271B_150615,,28116,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28116,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,WGS,1001271st1_D4_1001271B_150615,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376019,GCA_039761425.1,,JBDMWZ000000000,,,Illumina,26.6x,SPAdes v. v3.14.1,,,86,7031831,41.956676,13,172114,63,4,,5842,99.5,99,0.2,100,,rich broth,,6/15/15,2015,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-08T01:02:52.686Z,2024-07-08T01:02:52.686Z
