Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1121114.32","Blautia producta ATCC 27340 = DSM 2950 strain JCM 1471",,1121114,"131567;2;1783272;1239;186801;3085636;186803;572511;33035;1121114","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta;Blautia producta ATCC 27340 = DSM 2950","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","Complete","JCM 1471",,,,,,,,,,,,,,,,,"JCM:1471",,"Representative","Good","2020-02-17T00:00:00Z",,,"PRJNA603245","SAMN13925607","GCA_010669205.1",,"CP048626","National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute","Complete","Illumina MiSeq (V2 chemistry, 2x251 bp","70x (ONT) + 100x (Illumnina)","Flye v. 2.5; Unicyler v. 0.4.7",,,1,6197116,45.70003,1,6197116,70,,,6208,94.51,90.9,3.53,99.54,,"feces",,,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:isolate gDNA","This project provides a high quality genome sequence of Blautia producta strain JCM 1471(T).","2020-03-27T13:44:09.540Z","2020-03-27T13:44:09.540Z"
"33035.113","Blautia producta strain DSM 2950",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","Complete","DSM 2950",,,,,,,,,,,,,,,,,"DSM:2950",,,"Good","2020-08-10T00:00:00Z",,,"PRJNA531376","SAMN11357168","GCA_014131715.1",,"CP039126","Helmholtz Centre for Environmental Research - UFZ","Complete","PacBio; Oxford Nanopore","142.0x","Flye v. 2.4",,,1,6245307,45.6979,1,6245307,70,,,6288,94.45,90.66,4.38,99.54,,,,,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:culture","Complete sequencing and de novo genome assembly (based on a hybrid strategy of combining PacBio with Illumina) for proteogenomic studies. While RefSeq sequences are available for the strain re-sequencing and assembly using a hybrid strategy ensured one complete genome sequence without any gaps and devoid of any unresolved repeats. These genomes are the basis for further functional studies with particular focus on the identification of short proteins.","2020-09-05T21:00:25.861Z","2020-09-05T21:00:25.861Z"
"33035.125","Blautia producta strain UOC.14.97",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","UOC.14.97",,,,,,,,,,,,,,,,,,,,"Good","2021-10-20T00:00:00Z",,,"PRJNA737800","SAMN22165117","GCA_020540665.1",,"JAJBSJ000000000","University of Chicago","WGS","Illumina MiSeq","100x","SPAdes v. v3.14.0",,,71,6093567,45.717133,6,425262,66,2,,5867,93.73,90.05,2.82,99.39,,"fecal sample",,,,,"USA","Illinois",,,,"USA:Chicago",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","A collection of gut derived symbiotic bacterial strains cultured from healthy donors","2021-10-31T17:01:55.738Z","2021-10-31T17:01:55.738Z"
"33035.126","Blautia producta strain DFI.1.120",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","DFI.1.120",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z",,,"PRJNA737800","SAMN22167497","GCA_020559415.1",,"JAJCLI000000000","University of Chicago","WGS","Illumina MiSeq","100x","SPAdes v. v3.14.0",,,84,5847537,45.858418,8,299049,47,1,,5610,93.85,90.17,2.67,99.39,,"fecal sample",,,,,"USA","Illinois",,,,"USA:Chicago",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","A collection of gut derived symbiotic bacterial strains cultured from healthy donors","2021-10-31T17:53:39.626Z","2021-10-31T17:53:39.626Z"
"33035.129","Blautia producta strain I24C",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","I24C",,,,,,,,,,,,,,,,,,,,"Good","2021-11-01T00:00:00Z",,,"PRJNA771491","SAMN22312452","GCA_020697535.1",,"JAJFZC000000000","QuantHealth","WGS","Illumina NovaSeq","20.0x","MegaHit v. v1.1.3",,,52,5310526,46.000153,13,142608,51,,,5052,95.12,91.56,2.96,99.54,,"stool",,,,,,,,,,"China",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Genomic information for pan-genomic analysis.","2021-11-30T22:29:11.571Z","2021-11-30T22:29:11.571Z"
"33035.130","Blautia producta strain I2DA",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","I2DA",,,,,,,,,,,,,,,,,,,,"Good","2021-11-01T00:00:00Z",,,"PRJNA771491","SAMN22312453","GCA_020697555.1",,"JAJFZD000000000","QuantHealth","WGS","Illumina NovaSeq","20.0x","MEGAHIT v. v1.1.3",,,39,6080524,45.916092,6,308582,60,,,5676,94.39,91.08,2.24,99.39,,"stool",,,,,,,,,,"China",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Genomic information for pan-genomic analysis.","2021-11-30T22:28:55.732Z","2021-11-30T22:28:55.732Z"
"33035.131","Blautia producta strain I31A",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","I31A",,,,,,,,,,,,,,,,,,,,"Good","2021-11-01T00:00:00Z",,,"PRJNA771491","SAMN22312454","GCA_020697575.1",,"JAJFZE000000000","QuantHealth","WGS","Illumina NovaSeq","20.0x","MEGAHIT v. v1.1.3",,,120,5397409,45.972225,28,66126,42,,,5351,93.43,89.69,5.48,96.34,,"stool",,,,,,,,,,"China",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Genomic information for pan-genomic analysis.","2021-11-30T22:29:18.150Z","2021-11-30T22:29:18.150Z"
"33035.132","Blautia producta strain ID9B",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","ID9B",,,,,,,,,,,,,,,,,,,,"Good","2021-11-01T00:00:00Z",,,"PRJNA771491","SAMN22312456","GCA_020697595.1",,"JAJFZG000000000","QuantHealth","WGS","Illumina NovaSeq","20.0x","MEGAHIT v. v1.1.3",,,32,5984234,45.98759,6,308564,59,,,5558,93.13,89.75,2.24,95.57,,"stool",,,,,,,,,,"China",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Genomic information for pan-genomic analysis.","2021-11-30T22:29:21.729Z","2021-11-30T22:29:21.729Z"
"33035.133","Blautia producta strain ID8A",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","ID8A",,,,,,,,,,,,,,,,,,,,"Good","2021-11-01T00:00:00Z",,,"PRJNA771491","SAMN22312455","GCA_020697615.1",,"JAJFZF000000000","QuantHealth","WGS","Illumina NovaSeq","20.0x","MEGAHIT v. v1.1.3",,,36,6078161,45.995934,6,308553,60,,,5662,94.45,91.14,2.24,99.39,,"stool",,,,,,,,,,"China",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Genomic information for pan-genomic analysis.","2021-11-30T22:29:08.204Z","2021-11-30T22:29:08.204Z"
"33035.178","Blautia producta SL.2.22",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","SL.2.22",,,,,,,,,,,,,,,,,,,,"Good","2022-07-27T00:00:00Z",,,"PRJNA792599","SAMN28944629","GCA_024460175.1",,"JANFXW000000000",,"WGS","Illumina NextSeq","100x","SPAdes v. v3.14.0",,,143,5422072,45.689453,10,157930,49,1,,5327,97.5,94.6,4.4,99.7,,"fecal sample",,,,,"USA","Illinois",,,"North America","USA: Chicago",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture",,"2022-09-02T14:03:48.585Z","2022-09-02T14:03:48.585Z"
"33035.179","Blautia producta DFI.9.79",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","DFI.9.79",,,,,,,,,,,,,,,,,,,,"Good","2022-07-27T00:00:00Z",,,"PRJNA792599","SAMN28944596","GCA_024460835.1",,"JANFZD000000000",,"WGS","Illumina NextSeq","100x","SPAdes v. v3.14.0",,,281,5867058,46.852562,7,313069,66,1,,5820,97.1,93.4,6.8,99.8,,"fecal sample",,,,,"USA","Illinois",,,"North America","USA: Chicago",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture",,"2022-09-02T14:05:48.824Z","2022-09-02T14:05:48.824Z"
"33035.180","Blautia producta DFI.7.79",,33035,"131567;2;1783272;1239;186801;3085636;186803;572511;33035","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","WGS","DFI.7.79",,,,,,,,,,,,,,,,,,,,"Good","2022-07-27T00:00:00Z",,,"PRJNA792599","SAMN28944558","GCA_024461995.1",,"JANGAP000000000",,"WGS","Illumina NextSeq","100x","SPAdes v. v3.14.0",,,184,6108485,46.469524,17,123970,49,3,,6040,97.4,94.8,2.4,99.5,,"fecal sample",,,,,"USA","Illinois",,,"North America","USA: Chicago",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture",,"2022-09-02T14:05:25.071Z","2022-09-02T14:05:25.071Z"
