Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
562.10854,Escherichia coli 0-4,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,0-4,,,,,,,,,,,,,,,,genotype:LT-IIc2 EplBA,,,,Good,2022-08-08T00:00:00Z,,,PRJNA320137,SAMN04917421,GCA_024584885.1,,"CP076262,CP076263",,Complete,Illumina MiSeq 2 x 250 bp,87x,Geneious v. 6.1.7,,1,2,5062962,50.69009,1,4985310,86,22,,5084,100,99.3,,100,,adult,,1/1/79,1979,,Brazil,,,,South America,Brazil,,Homo sapiens,Human,,,diarrhea,Human,,,,collected_by:Luis Trabulsi,,2022-09-02T15:29:01.035Z,2022-09-02T15:29:01.035Z
562.158136,Escherichia coli 0811-4/89,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,0811-4/89,O126/O186:H9,,aEPEC/ExPEC,"MLST.Escherichia_coli_1.381,MLST.Escherichia_coli_2.483",,,,,,,,,,,,genotype:aEPEC/ExPEC,,,,Good,2024-09-10T00:00:00Z,,,PRJNA871776,SAMN30438959,GCA_041890435.1,,JANWGP000000000,,,Illumina,101.675x,SPAdes v. 3.7,,,297,5322175,50.552696,15,134776,99,8,,5857,100,99.2,,100,,stool,,1989,1989,,Brazil,,,,South America,Brazil: Sao Paulo,,Homo sapiens,Human,,,Diarrhea,Human,,,,collected_by:Universidade Federal de Sao Paulo,,2024-12-07T22:41:14.525Z,2024-12-07T22:41:14.525Z
562.121928,Escherichia coli 10153,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,10153,O26:H11,,STEC,"MLST.Escherichia_coli_1.21,MLST.Escherichia_coli_2.481",,,,,,,,,,,,,,,,Good,2023-01-13T00:00:00Z,,,PRJDB14896,SAMD00562889,GCA_027925825.1,,"AP027191,AP027192,AP027193,AP027194,AP027195,AP027196",,,MinION,58x,Flye v. 2.9,,5,6,6107920,50.6144,1,5833706,109,22,,6456,99.5,98.4,,100,,,,1999,1999,,Japan,,,,Asia,Japan:Miyazaki,,Homo sapiens,Human,,,diarrhea/bloody diarrhea,Human,,,,collected_by:Miyazaki Prefectural Institute for Public Health and Environment,,2023-02-15T02:39:26.962Z,2023-02-15T02:39:26.962Z
562.158137,Escherichia coli 1551-3/89,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,1551-3/89,O26:H8,,,MLST.Escherichia_coli_1.29,,,,,,,,,,,,genotype:aEPEC/ExPEC,,,,Good,2024-09-10T00:00:00Z,,,PRJNA871776,SAMN30438917,GCA_041890445.1,,JANWGQ000000000,,,Illumina,96.5504x,SPAdes v. 3.7,,,238,5059408,50.54866,15,114652,94,10,,5480,99.8,98.6,,100,,stool,,1989,1989,,Brazil,,,,South America,Brazil: Sao Paulo,,Homo sapiens,Human,,,Diarrhea,Human,,,,collected_by:Universidade Federal de Sao Paulo,,2024-12-07T22:39:46.036Z,2024-12-07T22:39:46.036Z
562.146591,Escherichia coli 1582-4/89,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,1582-4/89,O101/O162:H33,,aEPEC,MLST.Escherichia_coli_1.378,,,,,,,,,,,,,,,,Good,2024-02-29T00:00:00Z,,,PRJNA872550,SAMN31136242,GCA_036925215.1,,JAOTHS000000000,,,Illumina,96.8236x,SPAdes v. 3.7,,,434,5110639,50.611244,19,99133,88,11,,5701,99.6,98.2,0.2,100,,stool,,1989,1989,,Brazil,,,,South America,Brazil: Sao Paulo,,Homo sapiens,Human,,,healthy,Human,,,,collected_by:Universidade Federal de Sao Paulo,,2024-03-20T17:22:50.254Z,2024-03-20T17:22:50.254Z
562.134105,Escherichia coli 1711-4,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,1711-4,O51:H40,,aEPEC,MLST.Escherichia_coli_2.165,,,,,,,,,,,,,,,,Good,2023-09-13T00:00:00Z,,,PRJNA1000915,SAMN36780916,GCA_031460355.1,,JAVKVK000000000,,,PacBio,183.93x,SMRT Analysis v. 2.0,,,4,4722189,50.451073,1,4696149,87,22,,5435,99.6,89.1,11.4,99.7,,stool,,1989,1989,,Brazil,,,,South America,Brazil: Sao Paulo,,Homo sapiens,Human,,,Diarrhea,Human,,,,collected_by:Universidade Federal de Sao Paulo,,2023-09-29T16:41:08.334Z,2023-09-29T16:41:08.334Z
562.158135,Escherichia coli 2071-1/89,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,2071-1/89,,,aEPEC/ExPEC,"MLST.Escherichia_coli_1.381,MLST.Escherichia_coli_2.483",,,,,,,,,,,,,,,,Good,2024-09-10T00:00:00Z,,,PRJNA871776,SAMN43515108,GCA_041890375.1,,JBHERI000000000,,,Illumina,47.99x,SPAdes v. 3.7,,,372,5305947,50.60371,18,102511,93,9,,5922,100,99.1,,99.8,,stool,,1989,1989,,Brazil,,,,South America,Brazil: Sao Paulo,,Homo sapiens,Human,,,Diarrhea,Human,,,,collected_by:Universidade Federal de Sao Paulo,,2024-12-07T22:42:54.178Z,2024-12-07T22:42:54.178Z
562.146614,Escherichia coli 2731-1/89,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,2731-1/89,O180:H2,,aEPEC,MLST.Escherichia_coli_1.301,,,,,,,,,,,,,,,,Good,2024-02-29T00:00:00Z,,,PRJNA872550,SAMN31136269,GCA_036925195.1,,JAOTHT000000000,,,Illumina,89.2038x,SPAdes v. 3.7,,2,227,5042367,50.505646,16,121400,87,7,,5363,99.7,98.2,,100,,stool,,1989,1989,,Brazil,,,,South America,Brazil: Sao Paulo,,Homo sapiens,Human,,,Diarrhea,Human,,,,collected_by:Universidade Federal de Sao Paulo,,2024-03-20T17:23:50.368Z,2024-03-20T17:23:50.368Z
1207038.3,Escherichia coli 2886-75,,1207038,131567;2;3379134;1224;1236;91347;543;561;562;1207038,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli 2886-75,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,2886-75,O157:H7,,,"MLST.Escherichia_coli_1.11,MLST.Escherichia_coli_2.822",,,,,,,,,,,,,,,,Good,2013-08-29T00:00:00Z,,,PRJNA170193,SAMN01885535,GCA_000462245.1,SRR647549,AVRR00000000,IGS,WGS,Illumina,59.24x,Celera Assembler v. 7.0,,,126,5244479,50.2,13,122164,80,17,,5267,99.9,99.6,,100,,,,1975,1975,,USA,California,,,North America,USA: CA,,"Human, Homo sapiens",Human,,,,Human,,,,,-,2014-12-08T22:11:20.059Z,2015-03-16T03:17:09.594Z
562.123949,Escherichia coli 3531-3,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,WGS,3531-3,O78:H10,,EAEC,"MLST.Escherichia_coli_2.478,MLST.Escherichia_coli_1.10",,,,,,,,,,,,genotype:aggR+ / aatA+,,,,Good,2023-02-26T00:00:00Z,,,PRJNA935777,SAMN33327117,GCA_028864085.1,,JARBIW000000000,,,Illumina HiSeq,606x,SPAdes v. 3.15,,,240,4968071,50.496883,10,174166,86,8,,5247,99.3,98.2,0.7,99.8,,stool,,1989,1989,,Brazil,,,,South America,Brazil: Sao Paulo,,Homo sapiens,Human,,,Diarrhoea,Human,,,,collected_by:UNIFESP,,2023-03-26T19:03:31.120Z,2023-03-26T19:03:31.120Z
