Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
818.2206,Bacteroides thetaiotaomicron WAL8713,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,WAL8713,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663844,GCA_025914215.1,,CP083679,,Complete,Illumina HiSeq,136x,A5ud v. v1,,,1,6611797,42.812267,1,6611797,71,6,,5567,100,99.6,,100,,feces,,,,,USA,,,,North America,USA: Los Angeles,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:31.528Z,2022-11-22T20:13:31.528Z
818.2207,Bacteroides thetaiotaomicron WAL8669,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,WAL8669,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663843,GCA_025914235.1,,CP083680,,Complete,Illumina HiSeq,238x,A5ud v. v1,,,1,6410115,42.60516,1,6410115,64,4,,5238,99.9,99.6,,100,,feces,,,,,USA,,,,North America,USA: Los Angeles,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:38.556Z,2022-11-22T20:13:38.556Z
818.1927,Bacteroides thetaiotaomicron VPI-J19-343,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,VPI-J19-343,,,,,,,,,,,,,,,,,,,,Good,2022-01-10T00:00:00Z,34965410,,PRJNA715234,SAMN18350526,GCA_021409565.1,,JAGKIC000000000,,WGS,Illumina HiSeq,162.9x,A5ud v. 1,,,67,6100336,42.557907,8,256527,68,4,,4898,96.93,95.78,1.09,99.78,,,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-02-02T19:18:17.030Z,2022-02-02T19:18:17.030Z
818.1926,Bacteroides thetaiotaomicron VPI-C11-15,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,VPI-C11-15,,,,,,,,,,,,,,,,,,,,Good,2022-01-10T00:00:00Z,34965410,,PRJNA715234,SAMN18350527,GCA_021409505.1,,JAGKIB000000000,,WGS,Illumina HiSeq,114.3x,A5ud v. 1,,,85,6446885,42.927868,12,187570,63,6,,5369,97.59,96.56,0.22,99.78,,,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-02-02T19:12:07.454Z,2022-02-02T19:12:07.454Z
818.2209,Bacteroides thetaiotaomicron VPI-BTDOT2,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,VPI-BTDOT2,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663840,GCA_025914255.1,,CP083681,,Complete,Illumina HiSeq,162x,A5ud v. v1,,,1,6467639,43.12923,1,6467639,61,4,,5367,99.9,99.4,0.7,100,,feces,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:41.734Z,2022-11-22T20:13:41.734Z
818.2208,Bacteroides thetaiotaomicron VPI-BT8702,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,VPI-BT8702,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663839,GCA_025914275.1,,CP083682,,Complete,Illumina HiSeq,215x,A5ud v. v1,,,1,6730461,42.841503,1,6730461,64,4,,5609,100,99.4,,100,,feces,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:47.062Z,2022-11-22T20:13:47.062Z
818.221,Bacteroides thetaiotaomicron VPI-BT7853,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,VPI-BT7853,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663838,GCA_025916255.1,,CP083683,,Complete,Illumina HiSeq,174x,A5ud v. v1,,,1,6319080,42.601223,1,6319080,75,6,,5249,100,99.6,,100,,feces,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:40.071Z,2022-11-22T20:13:40.071Z
818.2211,Bacteroides thetaiotaomicron VPI-5482A,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,VPI-5482A,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663837,GCA_025916275.1,,CP083684,,Complete,Illumina HiSeq,239x,A5ud v. v1,,,1,6254757,42.867973,1,6254757,65,9,,5179,100,99.9,,100,,feces,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:43.420Z,2022-11-22T20:13:43.420Z
818.2213,Bacteroides thetaiotaomicron VPI-3443,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,VPI-3443,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663836,GCA_025916295.1,,CP083685,,Complete,Illumina HiSeq,224x,A5ud v. v1,,,1,6301124,42.76517,1,6301124,66,4,,5221,99.9,99.3,,100,,feces,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:36.978Z,2022-11-22T20:13:36.978Z
818.2212,Bacteroides thetaiotaomicron VPI-3164,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,VPI-3164,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663835,GCA_025916315.1,,CP083686,,Complete,Illumina HiSeq,212x,A5ud v. v1,,,1,6521709,42.50582,1,6521709,74,6,,5401,100,99.3,,100,,rectal abcess,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:34.567Z,2022-11-22T20:13:34.567Z
