Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1322.113","Blautia hansenii AM27-24LB",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","AM27-24LB",,,,,,,,,,,,,,,,,,,,"Good","2023-01-11T00:00:00Z",,,"PRJNA903559","SAMN31809106","GCA_027671065.1",,"JAQEAZ000000000",,,"MGI","100x","SOAPdenovo v. v2.04",,,38,2962183,38.577217,5,175858,52,2,,2953,98.4,97.1,1.8,99.7,,"fecal material [ENVO:00002003]",,"2014-02-01",2014,,"China",,,,"Asia","China: Shenzhen",,"Homo sapiens","Human",,,,"Human",,,,,,"2023-02-12T16:04:07.071Z","2023-02-12T16:04:07.071Z"
"1322.121","Blautia hansenii CLA-AA-H235",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","CLA-AA-H235",,,,,,,,,,,,,,,,,,,,"Good","2024-06-07T00:00:00Z",,,"PRJNA996881","SAMN40631416","GCA_040094235.1",,"JBBNIA000000000",,,"Illumina Nextseq","176x","SPAdes v. 3.15.5",,,95,3168896,38.90803,9,121370,47,1,,3235,98.3,97.1,1.4,99.7,,"fecal material [ENVO:00002003]",,"2020-11-08",2020,,"Germany",,,,"Europe","Germany: Aachen",,"Homo sapiens","Human",,"Adult",,"Human",,,,,,"2024-07-08T06:59:34.075Z","2024-07-08T06:59:34.075Z"
"1322.122","Blautia hansenii SFAD90",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","Complete","SFAD90",,,,,,,,,,,,,,,,,,,,"Good","2025-01-12T00:00:00Z","39731916",,"PRJNA1067813","SAMN45063087",,,"CP176622",,,"Oxford Nanopore PromethION","297.01757759872055x","Flye v. v2.9",,,1,2761128,39.445076,1,2761128,59,10,,2700,98.3,97,1.7,99.1,,"stool",,,,,"USA",,,,"North America","USA: St. Louis",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:Whole organism",,"2025-02-02T00:10:15.138Z","2025-02-02T00:10:15.138Z"
"1322.123","Blautia hansenii 14-2_48",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","14-2_48",,,,,,,,,,,,,,,,,,,,"Good","2025-01-21T00:00:00Z",,,"PRJNA1060349","SAMN43245710",,,"JBKTBB000000000",,,"Illumina NextSeq","213.61282556x","SPAdes v. 3.14.0",,,16,3011268,38.49158,1,1717428,46,3,,2958,98.5,97.3,0.9,99.8,,"infant stool",,"2010-10-11",2010,,"USA",,,,"North America","USA: Saint Louis",,"Homo sapiens","Human",,,,"Human",,,"host_subject_id:14-2","sample_type:metagenomic assembly",,"2025-02-03T19:55:48.880Z","2025-02-03T19:55:48.880Z"
"1322.124","Blautia hansenii 17-2_69",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","17-2_69",,,,,,,,,,,,,,,,,,,,"Good","2025-01-22T00:00:00Z",,,"PRJNA1060349","SAMN43245885",,,"JBKUBK000000000",,,"Illumina NextSeq","61.35987582726509x","SPAdes v. 3.14.0",,,27,3118559,43.887066,8,174780,35,,,3091,97.6,95.8,,95.8,,"infant stool",,"2011-02-05",2011,,"USA",,,,"North America","USA: Saint Louis",,"Homo sapiens","Human",,,,"Human",,,"host_subject_id:17-2","sample_type:metagenomic assembly",,"2025-02-03T20:26:01.285Z","2025-02-03T20:26:01.285Z"
"1322.125","Blautia hansenii 29-1_29",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","29-1_29",,,,,,,,,,,,,,,,,,,,"Good","2025-01-22T00:00:00Z",,,"PRJNA1060349","SAMN43246233",,,"JBKUNR000000000",,,"Illumina NextSeq","43.07674004x","SPAdes v. 3.14.0",,,45,2877898,44.08308,9,128951,27,,,2786,97.8,96.6,2.2,95.3,,"infant stool",,"2011-12-15",2011,,"USA",,,,"North America","USA: Saint Louis",,"Homo sapiens","Human",,,,"Human",,,"host_subject_id:29-1","sample_type:metagenomic assembly",,"2025-02-03T20:34:25.002Z","2025-02-03T20:34:25.002Z"
"1322.126","Blautia hansenii 40-2_28",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","40-2_28",,,,,,,,,,,,,,,,,,,,"Good","2025-01-23T00:00:00Z",,,"PRJNA1060349","SAMN43246703",,,"JBKVPQ000000000",,,"Oxford Nanopore MinION","149.2583884600109x","Flye v. 2.8.1",,,2,3222880,43.85475,1,3213146,57,5,,3200,98.2,96.8,2.6,97.3,,"infant stool",,"2012-07-07",2012,,"USA",,,,"North America","USA: Saint Louis",,"Homo sapiens","Human",,,,"Human",,,"host_subject_id:40-2","sample_type:metagenomic assembly",,"2025-02-03T20:53:11.793Z","2025-02-03T20:53:11.793Z"
"1322.127","Blautia hansenii 40-1_87",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","40-1_87",,,,,,,,,,,,,,,,,,,,"Good","2025-01-23T00:00:00Z",,,"PRJNA1060349","SAMN43246674",,,"JBKVXE000000000",,,"Illumina NextSeq","95.18208505x","SPAdes v. 3.14.0",,,50,3037987,43.80831,9,129889,39,,,2993,98.1,96.6,2.9,96.8,,"infant stool",,"2012-01-08",2012,,"USA",,,,"North America","USA: Saint Louis",,"Homo sapiens","Human",,,,"Human",,,"host_subject_id:40-1","sample_type:metagenomic assembly",,"2025-02-03T20:58:00.567Z","2025-02-03T20:58:00.567Z"
"1322.128","Blautia hansenii 43-2_03",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","43-2_03",,,,,,,,,,,,,,,,,,,,"Good","2025-01-23T00:00:00Z",,,"PRJNA1060349","SAMN43248731",,,"JBKWJP000000000",,,"Illumina NextSeq","39.50160575199494x","SPAdes v. 3.14.0",,,104,2765371,44.256325,18,47959,25,,,2873,97.1,93.2,10.9,92.5,,"infant stool",,"2012-05-07",2012,,"USA",,,,"North America","USA: Saint Louis",,"Homo sapiens","Human",,,,"Human",,,"host_subject_id:43-2","sample_type:metagenomic assembly",,"2025-02-03T21:08:58.454Z","2025-02-03T21:08:58.454Z"
"1322.129","Blautia hansenii 43-1_82",,1322,"131567;2;1783272;1239;186801;3085636;186803;572511;1322","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hansenii","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii","WGS","43-1_82",,,,,,,,,,,,,,,,,,,,"Good","2025-01-23T00:00:00Z",,,"PRJNA1060349","SAMN43246830",,,"JBKWPX000000000",,,"Illumina NextSeq","7.852724117637768x","SPAdes v. 3.14.0",,,93,2912466,44.00342,19,51659,21,,,3102,96.5,92,5.6,70.8,,"infant stool",,"2012-01-09",2012,,"USA",,,,"North America","USA: Saint Louis",,"Homo sapiens","Human",,,,"Human",,,"host_subject_id:43-1","sample_type:metagenomic assembly",,"2025-02-03T21:14:55.191Z","2025-02-03T21:14:55.191Z"
