Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
817.3114,Bacteroides fragilis 078320-1,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Complete,078320-1,,,,,,,,,,,,,,,,,,,,Good,2024-07-13T00:00:00Z,,,PRJNA982086,SAMN35685249,,,CP131537,,,PacBio Sequel,100X,Flye v. 2.9,,,1,5095801,43.324417,1,5095801,73,17,,4389,100,99.9,,100,,feces,,2022-09,2022,,USA,,,,North America,USA: Chicago,,Homo sapiens,Human,,,,Human,,,,"sample_type:cultured bacterial isolate;biomaterial_provider:Dr. Laurie Comstock, University of Chicago, Duchossois Family Institute (DFI), 900 East 57th Street, Chicago, IL 60637 USA",,2024-12-05T12:49:59.619Z,2024-12-05T12:49:59.619Z
817.3183,Bacteroides fragilis 08-1_17,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,08-1_17,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245484,,,JBKSNO000000000,,,Illumina NextSeq,85.12273502x,SPAdes v. 3.14.0,,,10,5210803,43.604797,2,1157181,61,12,,4620,100,99.6,,100,,infant stool,,8/4/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-1,sample_type:metagenomic assembly,,2025-04-18T21:45:51.541Z,2025-04-18T21:45:51.541Z
817.3184,Bacteroides fragilis 08-2_35,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,08-2_35,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245552,,,JBKSQR000000000,,,Illumina NextSeq,142.42314543456618x,SPAdes v. 3.14.0,,,19,5345538,43.554573,3,942518,65,8,,4833,100,99.6,0.1,100,,infant stool,,7/30/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T21:53:23.660Z,2025-04-18T21:53:23.660Z
817.278,Bacteroides fragilis 1001095H_141210_E11,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,1001095H_141210_E11,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532727,GCA_015553295.1,,JADNGK000000000,,,Illumina HiSeq,30x,SPAdes v. 3.10.1,,,64,5359295,43.610474,11,167823,60,3,,4829,99.9,99.6,0.3,100,,stool,,12/10/14,2014,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:32:23.936Z,2024-02-12T14:32:23.936Z
817.2778,Bacteroides fragilis 1001099B_141217_C6,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,1001099B_141217_C6,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532905,GCA_015550765.1,,JADNBK000000000,,,Illumina HiSeq,32.21x,SPAdes v. 3.10.1,,,61,4990595,43.403183,10,191470,60,3,,4394,99.7,99.5,0.1,100,,stool,,12/17/14,2014,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:28:24.383Z,2024-02-12T14:28:24.383Z
817.3038,Bacteroides fragilis 1001136st1_A7_1001136B_160425,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,1001136st1_A7_1001136B_160425,,,,,,,,,,,,,,,,,,,,Good,2024-06-18T00:00:00Z,,,PRJNA880610,SAMN31320344,GCA_040243845.1,,JBEJNY000000000,,,Illumina HiSeq,36.85110638430797x,SPAdes v. 3.10.1,,,38,5139680,43.403263,5,375147,64,3,,4527,100,99.9,0.1,100,,,,4/25/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-07-08T10:06:51.740Z,2024-07-08T10:06:51.740Z
817.3043,Bacteroides fragilis 1001136st1_F12_1001136B_160425,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,1001136st1_F12_1001136B_160425,,,,,,,,,,,,,,,,,,,,Good,2024-06-18T00:00:00Z,,,PRJNA880610,SAMN31320345,GCA_040243905.1,,JBEJNZ000000000,,,Illumina HiSeq,13.911946061710957x,SPAdes v. 3.10.1,,,248,5104352,43.429333,36,36068,57,1,,4722,99.9,97.4,4.9,99.9,,,,4/25/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-07-08T10:08:07.217Z,2024-07-08T10:08:07.217Z
817.2776,Bacteroides fragilis 1001175B_160314_C3,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,1001175B_160314_C3,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533184,GCA_015548595.1,,JADMXK000000000,,,Illumina HiSeq,32.35x,SPAdes v. 3.10.1,,,51,5684644,43.78799,5,291467,62,3,,5266,99.9,99.6,0.1,100,,stool,,3/14/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:24:19.733Z,2024-02-12T14:24:19.733Z
817.3041,Bacteroides fragilis 1001216st1_A2_1001216I_160404,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,1001216st1_A2_1001216I_160404,,,,,,,,,,,,,,,,,,,,Good,2024-06-18T00:00:00Z,,,PRJNA880610,SAMN31320346,GCA_040243885.1,,JBEJOA000000000,,,Illumina HiSeq,28.820073979900165x,SPAdes v. 3.10.1,,,47,5098251,43.652744,9,212191,66,3,,4518,99.9,99.6,3.3,94.5,,,,4/4/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-07-08T10:06:38.758Z,2024-07-08T10:06:38.758Z
817.3039,Bacteroides fragilis 1001216st1_E11_1001216I_160404,,817,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,WGS,1001216st1_E11_1001216I_160404,,,,,,,,,,,,,,,,,,,,Good,2024-06-18T00:00:00Z,,,PRJNA880610,SAMN31320347,GCA_040243865.1,,JBEJOB000000000,,,Illumina HiSeq,27.90475122907457x,SPAdes v. 3.10.1,,,46,5098999,43.6512,10,202786,65,3,,4527,99.9,99.6,3.3,94.5,,,,4/4/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-07-08T10:06:20.351Z,2024-07-08T10:06:20.351Z
