Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1121115.15","Blautia wexlerae DSM 19850",,1121115,"131567;2;1783272;1239;186801;3085636;186803;572511;418240;1121115","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae;Blautia wexlerae DSM 19850","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","Complete","DSM 19850",,,,,,,,,,,,,,,,,"DSM:19850",,"Representative","Good","2022-09-12T00:00:00Z",,,"PRJNA746600","SAMN20222668","GCA_025148125.1",,"CP102267",,"Complete","Illumina HiSeq; Oxford Nanopore","100x","Unicycler v. 0.4.8",,,1,4685728,41.496304,1,4685728,60,14,,4681,98.5,97.6,0.2,100,,,,,,,,,,,,,,"Homo sapiens","Human",,,,"Human",,,,"biomaterial_provider:DSMZ",,"2022-10-16T17:04:02.785Z","2022-10-16T17:04:02.785Z"
"1121115.4","Blautia wexlerae DSM 19850",,1121115,"131567;2;1783272;1239;186801;3085636;186803;572511;418240;1121115","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae;Blautia wexlerae DSM 19850","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","DSM 19850",,,,,,,,,,,,,,,,,"DSM Z","Yes",,"Good","2013-10-25T00:00:00Z",,,"PRJNA195783","SAMN02440722","GCA_000484655.1","SRR1801769","AXVN00000000","DOE Joint Genome Institute","WGS","Illumina HiSeq 2000",,"Unknown program v. before 2013-07-19",,,210,4508468,41.4,34,42060,54,2,,4401,98.4,97.6,1.3,99.3,,"Human feces",,"2001",2001,,"USA","California",,,"North America","USA: California",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Genomic Encyclopedia of Type Strains, Phase I: one thousand microbial genomes (KMG) project. The goal of the Genomic Encyclopedia of Bacteria and Archaea (GEBA) initiative is to sequence genomes to fill phylogenetic gaps, generating reference genomes for every major and minor group of bacteria and archaea.  Currently sequenced genomes have provided highly uneven coverage of the type strain material present in public culture collections.  The Microbial Earth Project is an initiative of the Microbial Genomics Program of the DOE Joint Genome Institute that focuses on 1000 Type strains from the DSMZ and ATCC repositories.","2014-12-08T22:10:30.058Z","2015-03-16T03:17:09.594Z"
"418240.1272","Blautia wexlerae 1001713B170214_170313_B5",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","1001713B170214_170313_B5",,,,,,,,,,,,,,,,,,,,"Good","2020-11-17T00:00:00Z",,,"PRJNA637878","SAMN15532510","GCA_015549355.1",,"JADMYT000000000",,,"Illumina HiSeq","33.34x","SPAdes v. 3.10.1",,,84,3839061,41.445316,10,117835,53,3,,3800,98.5,97.3,,100,,"stool",,"2017-03-13",2017,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2024-02-12T14:23:58.359Z","2024-02-12T14:23:58.359Z"
"418240.1273","Blautia wexlerae D43t1_170807_G7",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","D43t1_170807_G7",,,,,,,,,,,,,,,,,,,,"Good","2020-11-17T00:00:00Z",,,"PRJNA637878","SAMN15533063","GCA_015550855.1",,"JADNBQ000000000",,,"Illumina HiSeq","28.97x","SPAdes v. 3.10.1",,,566,3919843,41.65352,102,11044,44,2,,3873,98,96.7,0.4,99.6,,"stool",,"2017-08-07",2017,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2024-02-12T14:27:50.987Z","2024-02-12T14:27:50.987Z"
"418240.1274","Blautia wexlerae D59t2_181005_E2",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","D59t2_181005_E2",,,,,,,,,,,,,,,,,,,,"Good","2020-11-17T00:00:00Z",,,"PRJNA637878","SAMN15533303","GCA_015550985.1",,"JADNBV000000000",,,"Illumina HiSeq","24.13x","SPAdes v. 3.10.1",,,127,4132341,41.154564,18,75723,57,2,,4101,98.7,97.5,,100,,"stool",,"2018-10-05",2018,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2024-02-12T14:27:30.679Z","2024-02-12T14:27:30.679Z"
"418240.1275","Blautia wexlerae 1001275B_160808_C10",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","1001275B_160808_C10",,,,,,,,,,,,,,,,,,,,"Good","2020-11-17T00:00:00Z",,,"PRJNA637878","SAMN15532883","GCA_015551045.1",,"JADNBY000000000",,,"Illumina HiSeq","47.43x","SPAdes v. 3.10.1",,,118,4024331,41.548393,16,83573,45,3,,4018,98.2,97.1,0.4,100,,"stool",,"2016-08-08",2016,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2024-02-12T14:27:28.895Z","2024-02-12T14:27:28.895Z"
"418240.1276","Blautia wexlerae J1101004_170508_H1",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","J1101004_170508_H1",,,,,,,,,,,,,,,,,,,,"Good","2020-11-17T00:00:00Z",,,"PRJNA637878","SAMN15532434","GCA_015552855.1",,"JADNFN000000000",,,"Illumina HiSeq","54.18x","SPAdes v. 3.10.1",,,103,3884995,41.08278,14,85623,56,2,,3826,98.6,97.7,,100,,"stool",,"2017-05-08",2017,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2024-02-12T14:29:52.957Z","2024-02-12T14:29:52.957Z"
"418240.1277","Blautia wexlerae 1001713B170207_170306_C10",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","1001713B170207_170306_C10",,,,,,,,,,,,,,,,,,,,"Good","2020-11-17T00:00:00Z",,,"PRJNA637878","SAMN15532664","GCA_015554555.1",,"JADNIU000000000",,,"Illumina HiSeq","44.76x","SPAdes v. 3.10.1",,,109,3974360,41.32484,12,107754,51,2,,3927,98.7,97.6,0.2,100,,"stool",,"2017-03-06",2017,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2024-02-12T14:32:50.359Z","2024-02-12T14:32:50.359Z"
"418240.1278","Blautia wexlerae 1001713B170207_170306_B2",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","1001713B170207_170306_B2",,,,,,,,,,,,,,,,,,,,"Good","2020-11-17T00:00:00Z",,,"PRJNA637878","SAMN15532964","GCA_015556425.1",,"JADNMI000000000",,,"Illumina HiSeq","33.08x","SPAdes v. 3.10.1",,,60,3833557,41.879097,10,141061,54,3,,3792,98.2,97.3,0.2,99.8,,"stool",,"2017-03-06",2017,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2024-02-12T14:37:13.842Z","2024-02-12T14:37:13.842Z"
"418240.1286","Blautia wexlerae DOME_MAG_10921",,418240,"131567;2;1783272;1239;186801;3085636;186803;572511;418240","cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia wexlerae","Bacteria","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","WGS","DOME_MAG_10921",,,,,,,,,,,,,,,,,,,,"Good","2024-01-30T00:00:00Z",,,"PRJNA964705","SAMN38021072","GCA_036304125.1",,"JAXIZF000000000",,,"Illumina NovaSeq",,"MEGAHIT v. 1.1.4",,,154,4086970,41.068443,22,52888,55,,,4158,98.6,97.5,0.2,100,,"stool",,,,,"USA",,,,"North America","USA: Marshfield, WI",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly",,"2024-02-17T00:37:05.695Z","2024-02-17T00:37:05.695Z"
