Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
216816.3722,Bifidobacterium longum 08-2_41,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,08-2_41,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245558,,,JBKSQX000000000,,,Illumina NextSeq,137.17198916572025x,SPAdes v. 3.14.0,,,5,2348654,59.948494,1,1889974,57,6,,2052,99.6,99.3,,100,,infant stool,,7/30/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T21:51:04.008Z,2025-04-18T21:51:04.008Z
216816.3154,Bifidobacterium longum 1001099B_141217_H2,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001099B_141217_H2,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533338,GCA_015546765.1,,JADMTV000000000,,,Illumina HiSeq,11.44x,SPAdes v. 3.10.1,,,98,2305529,59.8778,17,42371,39,3,,2014,99.6,99.2,1.1,100,,stool,,12/17/14,2014,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:19:01.707Z,2024-02-12T14:19:01.707Z
216816.3329,Bifidobacterium longum 1001099st1_G3_1001099B_141217,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001099st1_G3_1001099B_141217,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376106,GCA_039759495.1,,JBDMTQ000000000,,,Illumina,28.8x,SPAdes v. v3.14.1,,,48,2237333,59.780945,6,128514,55,5,,1925,99.6,99.3,0.5,100,,rich broth,,12/17/14,2014,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-07T18:00:43.395Z,2024-07-07T18:00:43.395Z
216816.333,Bifidobacterium longum 1001099st2_E7_1001099B_141217,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001099st2_E7_1001099B_141217,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376107,GCA_039759475.1,,JBDMTP000000000,,,Illumina,29x,SPAdes v. v3.14.1,,,48,2274638,60.076958,8,114384,54,3,,1895,99.6,99.4,0.4,100,,rich broth,,12/17/14,2014,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-07T18:01:12.262Z,2024-07-07T18:01:12.262Z
216816.3166,Bifidobacterium longum 1001136B_160425_B5,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001136B_160425_B5,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532765,GCA_015555065.1,,JADNJT000000000,,,Illumina HiSeq,79.64x,SPAdes v. 3.10.1,,,23,2382926,59.943237,3,292703,61,3,,2077,99.6,99.4,,99.8,,stool,,4/25/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:34:04.660Z,2024-02-12T14:34:04.660Z
216816.3168,Bifidobacterium longum 1001175B_160314_B2,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001175B_160314_B2,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532691,GCA_015557625.1,,JADNOO000000000,,,Illumina HiSeq,73.99x,SPAdes v. 3.10.1,,,49,2387577,59.99287,8,112377,56,3,,2107,99.5,99.3,,100,,stool,,3/14/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:38:46.666Z,2024-02-12T14:38:46.666Z
216816.3324,Bifidobacterium longum 1001271st1_A4_1001271B_151109,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001271st1_A4_1001271B_151109,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376108,GCA_039759435.1,,JBDMTO000000000,,,Illumina,13.4x,SPAdes v. v3.14.1,,,55,2468440,60.267193,11,73468,57,3,,2143,99.6,98.9,1.2,100,,rich broth,,11/9/15,2015,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-08T01:00:15.722Z,2024-07-08T01:00:15.722Z
216816.3328,Bifidobacterium longum 1001271st1_A7_1001271B_151109,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001271st1_A7_1001271B_151109,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376109,GCA_039759455.1,,JBDMTN000000000,,,Illumina,27.2x,SPAdes v. v3.14.1,,,38,2477661,60.246437,8,104001,57,3,,2152,99.6,99.4,,100,,rich broth,,11/9/15,2015,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-07T18:00:47.434Z,2024-07-07T18:00:47.434Z
216816.3321,Bifidobacterium longum 1001271st1_B8_1001271B_150615,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001271st1_B8_1001271B_150615,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376110,GCA_039759415.1,,JBDMTM000000000,,,Illumina,24.9x,SPAdes v. v3.14.1,,,27,2470003,60.280495,6,113550,57,3,,2129,99.6,99.4,,100,,rich broth,,6/15/15,2015,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-07T17:59:13.996Z,2024-07-07T17:59:13.996Z
216816.332,Bifidobacterium longum 1001271st1_C6_1001271B_151109,,216816,131567;2;1783272;201174;1760;85004;31953;1678;216816,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,WGS,1001271st1_C6_1001271B_151109,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376111,GCA_039759375.1,,JBDMTL000000000,,,Illumina,16.6x,SPAdes v. v3.14.1,,,61,2470371,60.279224,12,68249,55,3,,2153,99.6,99.1,1.2,100,,rich broth,,11/9/15,2015,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-07T17:58:50.446Z,2024-07-07T17:58:50.446Z
