Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1036735.3","Bifidobacterium breve CECT 7263",,1036735,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1036735","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve CECT 7263","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","CECT 7263",,,,,,,,,,,,,,,,," ",,,"Good","2012-02-16T00:00:00Z","22740680",,"PRJNA67403","SAMN02471362","GCA_000247755.2",,"AFVV00000000","Universidad Complutense de Madrid","WGS",,,,,,34,2314396,58.9,8,102506,53,3,,1954,99.9,99.8,,99.7,,"human milk from Spanish woman",,"2007",2007,,"Spain",,,,"Europe","Spain",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:10:28.195Z","2015-03-16T03:17:09.594Z"
"1074482.3","Bifidobacterium breve DPC 6330",,1074482,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1074482","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve DPC 6330","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","DPC 6330",,,,,,,,,,,,,,,,," ",,,"Good","2011-09-19T00:00:00Z","22072651",,"PRJNA71589","SAMN02471030","GCA_000226175.2",,"AFXX00000000","Teagasc Food Research Centre, Moorepark, Fermoy, Co. Cork, Rep. Ireland","WGS",,,,,,47,2386233,58.6,7,120640,53,4,,2070,99.9,99.7,,100,,"stool sample from 81 year old patient sheading Clostridium difficle",,"2004",2004,,"Ireland",,,,"Europe","Ireland",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Draft sequence of potential probiotic organism Bifidobacterium breve DPC 6330.","2014-12-08T22:10:28.221Z","2015-03-16T03:17:09.594Z"
"1203540.3","Bifidobacterium breve HPH0326",,1203540,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1203540","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve HPH0326","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","HPH0326",,,,,,,,,,,,,,,,,,,,"Good","2013-06-14T00:00:00Z",,,"PRJNA169434","SAMN02596976","GCA_000411435.1",,"ATCB00000000","Broad Institute","WGS","Illumina","273.0x","allpaths v. R42768",,,6,2502557,59.1,2,691863,54,8,,2182,99.9,99.6,,100,,"Gastrointestinal tract; Ileal-anal pouch","This strain was isolated from a biopsy of ileal-anal pouch mucosa of a human subject",,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:10:28.245Z","2015-03-16T03:17:09.594Z"
"1261072.3","Bifidobacterium breve JCP7499",,1261072,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1261072","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve JCP7499","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","JCP7499",,,,,,,,,,,,,,,,,,,,"Good","2013-09-12T00:00:00Z",,,"PRJNA181327","SAMN02436887","GCA_000466545.1",,"AWSX00000000","Washington University","WGS","Illumina","126x","Velvet v. 1.1.06",,,96,2366917,58.6,17,45438,50,3,,2073,99.9,99.6,0.3,100,,"vagina",,,,,,,,,,,,"Human, Homo sapiens","Human","Female",,,"Human",,,,,"Human Microbiome Project (HMP) Reference Genomes","2014-12-08T22:10:28.272Z","2015-03-16T03:17:09.594Z"
"1365960.3","Bifidobacterium breve MCC 0121",,1365960,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1365960","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve MCC 0121","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","MCC 0121",,,,,,,,,,,,,,,,,,,,"Good","2015-08-11T00:00:00Z","26236711",,"PRJNA215976","SAMN03978796","GCF_001264045.1",,"AVQA00000000","Food Science and Technology Institute, Morinaga Milk Industry Co., Ltd","WGS","Illumina MiSeq","55.0x","CLC De Novo Assembly v. 6.0",,,27,2436344,58.92,4,178833,53,3,,2204,99.8,99.5,0.3,100,,"infant feces",,,,,"Japan",,,,"Asia","Japan",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Members of the genus Bifidobacterium are among the most common organisms in the mammalian intestinal tract. We analyzed whole-genome sequences and compared the genome structures of some bifidobacteria aiming to know the genetic features of human-resident bifidobacteria and non-human-resident bifidobacteria.","2016-01-17T17:01:47.681Z","2016-01-17T17:01:47.681Z"
"1365961.3","Bifidobacterium breve MCC 0305",,1365961,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1365961","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve MCC 0305","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","MCC 0305",,,,,,,,,,,,,,,,,,,,"Good","2015-08-11T00:00:00Z","26236711",,"PRJNA215975","SAMN03978801","GCF_001264035.1",,"AWFR00000000","Food Science and Technology Institute, Morinaga Milk Industry Co., Ltd","WGS","Illumina MiSeq","165.0x","CLC De Novo Assembly v. 6.0",,,22,2286838,58.85,3,319006,52,1,,2040,99.9,99.7,,100,,"feces",,,,,"Japan",,,,"Asia","Japan",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Members of the genus Bifidobacterium are among the most common organisms in the mammalian intestinal tract. We analyzed whole-genome sequences and compared the genome structures of some bifidobacteria aiming to know the genetic features of human-resident bifidobacteria and non-human-resident bifidobacteria.","2016-01-17T17:01:47.306Z","2016-01-17T17:01:47.306Z"
"1365962.3","Bifidobacterium breve MCC 0476",,1365962,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1365962","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve MCC 0476","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","MCC 0476",,,,,,,,,,,,,,,,,,,,"Good","2015-08-11T00:00:00Z","26236711",,"PRJNA215979","SAMN03978797","GCF_001263845.1",,"AVQB00000000","Food Science and Technology Institute, Morinaga Milk Industry Co., Ltd","WGS","Illumina MiSeq","129.0x","CLC De Novo Assembly v. 6.0",,,15,2233807,58.65,3,269578,51,3,,1972,99.8,99.6,,100,,"feces from an adult",,,,,"Japan",,,,"Asia","Japan",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Members of the genus Bifidobacterium are among the most common organisms in the mammalian intestinal tract. We analyzed whole-genome sequences and compared the genome structures of some bifidobacteria aiming to know the genetic features of human-resident bifidobacteria and non-human-resident bifidobacteria.","2016-01-17T17:01:43.613Z","2016-01-17T17:01:43.613Z"
"1365963.3","Bifidobacterium breve MCC 1094",,1365963,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1365963","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve MCC 1094","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","MCC 1094",,,,,,,,,,,,,,,,,,,,"Good","2015-08-11T00:00:00Z","26236711",,"PRJNA215978","SAMN03978802","GCF_001264095.1",,"AWFS00000000","Food Science and Technology Institute, Morinaga Milk Industry Co., Ltd","WGS","Illumina MiSeq","42.0x","CLC De Novo Assembly v. 6.0",,,23,2327206,58.95,4,210898,52,2,,2073,99.9,99.6,,100,,"feces from an infant",,,,,"Japan",,,,"Asia","Japan",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Members of the genus Bifidobacterium are among the most common organisms in the mammalian intestinal tract. We analyzed whole-genome sequences and compared the genome structures of some bifidobacteria aiming to know the genetic features of human-resident bifidobacteria and non-human-resident bifidobacteria.","2016-01-17T17:01:48.390Z","2016-01-17T17:01:48.390Z"
"1365964.3","Bifidobacterium breve MCC 1114",,1365964,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1365964","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve MCC 1114","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","MCC 1114",,,,,,,,,,,,,,,,,,,,"Good","2015-08-11T00:00:00Z","26236711",,"PRJNA215977","SAMN03978798","GCF_001263855.1",,"AVQC00000000","Food Science and Technology Institute, Morinaga Milk Industry Co., Ltd","WGS","Illumina MiSeq","102.0x","CLC De Novo Assembly v. 6.0",,,33,2487280,58.95,5,176662,53,2,,2281,99.9,99.6,,100,,"infant feces",,,,,"Japan",,,,"Asia","Japan",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Members of the genus Bifidobacterium are among the most common organisms in the mammalian intestinal tract. We analyzed whole-genome sequences and compared the genome structures of some bifidobacteria aiming to know the genetic features of human-resident bifidobacteria and non-human-resident bifidobacteria.","2016-01-17T17:01:44.021Z","2016-01-17T17:01:44.021Z"
"1365965.3","Bifidobacterium breve MCC 1128",,1365965,"131567;2;1783272;201174;1760;85004;31953;1678;1685;1365965","cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve;Bifidobacterium breve MCC 1128","Bacteria","Bacillati","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","WGS","MCC 1128",,,,,,,,,,,,,,,,,,,,"Good","2015-08-11T00:00:00Z","26236711",,"PRJNA215982","SAMN03978799","GCF_001263915.1",,"AVQD00000000","Food Science and Technology Institute, Morinaga Milk Industry Co., Ltd","WGS","Illumina MiSeq","133.0x","CLC De Novo Assembly v. 6.0",,,25,2480222,58.91,5,156854,54,1,,2278,99.9,99.8,,100,,"infant feces",,,,,"Japan",,,,"Asia","Japan",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Members of the genus Bifidobacterium are among the most common organisms in the mammalian intestinal tract. We analyzed whole-genome sequences and compared the genome structures of some bifidobacteria aiming to know the genetic features of human-resident bifidobacteria and non-human-resident bifidobacteria.","2016-01-17T17:01:44.659Z","2016-01-17T17:01:44.659Z"
