Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1351.1947,Enterococcus faecalis,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,Enterococcus faecalis,,,,MLST.Enterococcus_faecalis.6,,,,,,,,,,,,,,,,Good,2019-05-15T00:00:00Z,,,PRJEB31394,SAMEA5369202,GCA_901521655.1,,CABEGK000000000,LAQV-REQUIMTE,WGS,,,,,,107,3426145,37.230648,7,189086,60,6,,3576,96.26,94.94,0.37,99.88,,patient with urinary tract infection,isolated from a patient with urinary tract infection,2010,2010,,Spain,,,,Europe,Spain,,"Human, Homo sapiens",Human,,,urinary tract infection,Human,,,host_health_state:diseased,"collected_by:Área Bioquímica y Biología Molecular, Universidad de La Rioja","In this study was conducted a detailed proteomic and transcriptomic research on a clinically relevant Vancomycin-resistant Enterococcus (VRE) strain isolated from a patient with urinary tract infection. Previous genotypic profile revealing the presence of resistance genes, with special relevance to the vanB cluster, led us to the development of whole genome sequencing and RNA sequencing (RNA-Seq) in order to detect and quantify the genes expressed by our pathogenic strains. Afterwards, was performed the proteomic identification and comparison methods of both membrane and cytoplasmic sub-proteomes by two-dimensional gel electrophoresis followed by matrix-assisted laser desorption/ionization – time of flight / mass spectrometry. In our work, we have obtained two sub-proteomes (membrane and cytoplasm) of a VRE faecalis strain of clinical background where 118 proteins were identified within a total of 207 spots and confronted to the results obtained by the full transcriptome assay. Several genes and proteins related to stress and cellular response were identified as well as linked to antibiotic and drug response, which is consistent with the state of multi-resistance previously described and so highlighting the serious health problem found in hospitals worldwide. Even though the expression levels are yet not consistent between omics, the information obtained is of much value towards understanding the mechanisms behind antibiotic resistance and virulent bacteria survival capacities.",2019-07-16T09:00:14.101Z,2019-07-16T09:00:14.101Z
1351.6883,Enterococcus faecalis 1.2,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1.2,,,,MLST.Enterococcus_faecalis.97,,,,,,,,,,,,,,,,Good,2020-12-12T00:00:00Z,,,PRJEB36907,SAMEA6941473,GCA_903818555.1,,CAIJAN000000000,,WGS,,,,,,175,5763175,37.546143,17,139473,111,10,,5703,99.5,71.3,50,100,,,,2018-04,2018,,France,,,,Europe,France,,Homo sapiens sapiens,Human,,,,Human,,,host_health_state:diseased,collected_by:Laboratoire de bact�riologie - CHU Henri Mondor,,2022-10-16T17:37:38.988Z,2022-10-16T17:37:38.988Z
1351.7957,Enterococcus faecalis 1001262st1_B5_D43t1_170807,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001262st1_B5_D43t1_170807,,,,MLST.Enterococcus_faecalis.209,,,,,,,,,,,,,,,,Good,2023-01-29T00:00:00Z,,,PRJNA880610,SAMN31322021,GCA_028207915.1,,JAQLAY000000000,,,Illumina HiSeq,27.71939902767337x,SPAdes v. 3.10.1,,,320,2883925,37.541946,58,15244,55,3,,2921,100,99.1,0.7,99.9,,,,8/7/17,2017,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:08:37.123Z,2023-02-15T03:08:37.123Z
1351.7965,Enterococcus faecalis 1001262st1_C11_D43t1_170807,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001262st1_C11_D43t1_170807,,,,MLST.Enterococcus_faecalis.209,,,,,,,,,,,,,,,,Good,2023-01-29T00:00:00Z,,,PRJNA880610,SAMN31322022,GCA_028208095.1,,JAQLAX000000000,,,Illumina HiSeq,27.311429881523125x,SPAdes v. 3.10.1,,,44,2940827,37.313606,6,184451,56,3,,2927,100,99.3,0.4,100,,,,8/7/17,2017,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:08:27.253Z,2023-02-15T03:08:27.253Z
1351.7963,Enterococcus faecalis 1001262st1_E7_1001262B_160229,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001262st1_E7_1001262B_160229,,,,MLST.Enterococcus_faecalis.209,,,,,,,,,,,,,,,,Good,2023-01-29T00:00:00Z,,,PRJNA880610,SAMN31322023,GCA_028208015.1,,JAQLAW000000000,,,Illumina HiSeq,68.50399423526234x,SPAdes v. 3.10.1,,,35,2871299,37.450424,4,227766,54,3,,2839,100,99.3,0.4,100,,,,2/29/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:08:10.411Z,2023-02-15T03:08:10.411Z
1351.10523,Enterococcus faecalis 1001262st1_G1_1001217B_191108,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001262st1_G1_1001217B_191108,,,,,,,,,,,,,,,,,,,,Good,2024-05-26T00:00:00Z,,,PRJNA880610,SAMN31322024,GCA_039836395.1,,JBDOZG000000000,,,Illumina HiSeq,12.264559945387044x,SPAdes v. 3.10.1,,,224,2781786,37.52868,42,19273,39,3,,3206,99.9,93.9,15,99.4,,,,11/8/19,2019,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-07-08T02:14:25.796Z,2024-07-08T02:14:25.796Z
1351.10975,Enterococcus faecalis 1001283st1_B10_RTP31023_210422,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001283st1_B10_RTP31023_210422,,,,MLST.Enterococcus_faecalis.19,,,,,,,,,,,,,,,,Good,2024-07-27T00:00:00Z,,,PRJNA1093465,SAMN41030659,GCA_040920345.1,,JBCOTW000000000,,,Illumina,21.8x,SPAdes v. v3.14.1,,,40,2897651,37.45039,6,212918,52,4,,2891,99.9,99.1,,100,,feces,,4/22/21,2021,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-12-06T00:31:31.113Z,2024-12-06T00:31:31.113Z
1351.10973,Enterococcus faecalis 1001283st1_F1_RTP31023_210422,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001283st1_F1_RTP31023_210422,,,,MLST.Enterococcus_faecalis.19,,,,,,,,,,,,,,,,Good,2024-07-27T00:00:00Z,,,PRJNA1093465,SAMN41030660,GCA_040920285.1,,JBCOTX000000000,,,Illumina,19.2x,SPAdes v. v3.14.1,,,48,2896130,37.45975,6,152917,52,5,,2892,99.9,99.1,0.2,100,,feces,,4/22/21,2021,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-12-06T00:31:29.916Z,2024-12-06T00:31:29.916Z
1351.9859,Enterococcus faecalis 1001285H_161024_E9,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001285H_161024_E9,,,,MLST.Enterococcus_faecalis.415,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532854,GCA_015547115.1,,JADMUK000000000,,,Illumina HiSeq,57.78x,SPAdes v. 3.10.1,,,26,2793622,37.51466,3,263509,52,3,,2664,99.7,98.7,0.1,100,,stool,,10/24/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,,,2024-02-12T14:20:12.644Z,2024-02-12T14:20:12.644Z
1351.7973,Enterococcus faecalis 1001285st1_A1_1001285B_161010,,1351,131567;2;1783272;1239;91061;186826;81852;1350;1351,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,WGS,1001285st1_A1_1001285B_161010,,,,MLST.Enterococcus_faecalis.415,,,,,,,,,,,,,,,,Good,2023-01-29T00:00:00Z,,,PRJNA880610,SAMN31322025,GCA_028208355.1,,JAQLAV000000000,,,Illumina HiSeq,74.46783228301096x,SPAdes v. 3.10.1,,,27,2795770,37.519234,3,263509,52,3,,2682,99.7,98.6,0.1,100,,,,10/10/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:08:23.087Z,2023-02-15T03:08:23.087Z
