Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"411903.6","Collinsella aerofaciens ATCC 25986",,411903,"131567;2;1783272;201174;84998;84999;84107;102106;74426;411903","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens;Collinsella aerofaciens ATCC 25986","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","ATCC 25986",,,,,,,,,,,,,,,,,"ATCC 25986, CCUG 28087, DSM 3979, KCTC 3647, JCM 10188","Yes",,"Good","2007-01-03T00:00:00Z",,,"PRJNA18167","SAMN00627067","GCA_000169035.1","SRR275625","AAVN00000000","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","WGS","454-GS20, Sanger","15x 454, 4x Sanger","PCAP",,,25,2439869,60.5,4,184100,50,13,,2110,97.2,96.1,2.3,100,,,,,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"Collinsella aerofaciens ATCC 25986. Collinsella aerofaciens ATCC 25986 (JCM 10188, CCUG 28087, DSM 3979, KCTC 3647) is the type strain and is being sequenced as part of the human gut microbiome project.","2014-12-08T22:11:02.081Z","2015-03-16T03:17:09.594Z"
"74426.1538","Collinsella aerofaciens strain P10wA7",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Complete","P10wA7",,,,,,,,,,,,,,,,,,,,"Good","2019-05-22T00:00:00Z",,,"PRJNA542677","SAMN11637225","GCA_005576555.1",,"CP040348","Columbia University","Complete","Illumina NextSeq; PacBio Sequel","200.0x","SPAdes v. 3.13.0",,,1,2264854,60.015877,1,2264854,58,10,,1968,94.82,94.21,,99.38,,"feces",,"2017-10-30",2017,,"USA",,,,"North America","USA: New York City",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Bacterial RNA-seq is a powerful methodology to quantitatively understand the physiology and functionality of diverse microbial species. Depletion of ribosomal RNA (rRNA) is required to enable cost-effective sequencing of resulting libraries at appropriate coverage. However, current methodology for efficient rRNA depletion of diverse and non-model bacterial species is limited. Here we develop a new probe and RNase H based strategy for bacterial rRNA depletion. We validate the technique on 3 novel gut microbiota isolates representing three distinct phyla, show compatibility with chemically synthesized oligo or amplicon-based ssDNA probes, and demonstrate that probe sets can be successfully utilized on closely related species. A detailed protocol and online tool to generate probe libraries and predict performance on related species is available, and lays the groundwork for large-scale bacterial transcriptomics studies.","2019-07-17T17:42:41.025Z","2019-07-17T17:42:41.025Z"
"74426.1539","Collinsella aerofaciens strain 1001271st1_C3",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","1001271st1_C3",,,,,,,,,,,,,,,,,,,,"Good","2019-05-26T00:00:00Z",,,"PRJNA518912","SAMN10863264","GCA_005844325.1",,"SPFY00000000","Icahn School of Medicine at Mount Sinai","WGS","Illumina HiSeq","19.3199067447x","SPAdes v. 3.10.1",,,60,2188510,59.773724,11,65309,52,2,,1950,94.94,94.39,0.62,99.69,,"stool","isolated and sequenced, and tested for fecal IgA levels in gnotobiotic mice","2015-06-15",2015,,"USA",,,,"North America","USA",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism","Multiple strains of Bacteroides ovatus were isolated and sequenced, and tested for fecal IgA levels in gnotobiotic mice.","2019-07-17T17:41:45.221Z","2019-07-17T17:41:45.221Z"
"74426.1540","Collinsella aerofaciens strain BSD2780061688st1_F5",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","BSD2780061688st1_F5",,,,,,,,,,,,,,,,,,,,"Good","2019-05-26T00:00:00Z",,,"PRJNA518912","SAMN10863280","GCA_005845035.1",,"SPFO00000000","Icahn School of Medicine at Mount Sinai","WGS","Illumina HiSeq","81.5833377516x","SPAdes v. 3.10.1",,,51,2299167,59.97795,7,125918,57,5,,2026,94.7,94.21,0.31,99.69,,"stool","isolated and sequenced, and tested for fecal IgA levels in gnotobiotic mice","2017-12-18",2017,,"USA",,,,"North America","USA",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism","Multiple strains of Bacteroides ovatus were isolated and sequenced, and tested for fecal IgA levels in gnotobiotic mice.","2019-07-17T17:43:31.798Z","2019-07-17T17:43:31.798Z"
"74426.1561","Collinsella aerofaciens strain S10C.meta.bin_9",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S10C.meta.bin_9",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316727","GCA_008667915.1",,"RQDF00000000","The University of Queensland","WGS","Illumina NextSeq","18x","Megahit v. 1.1.2",,,111,1966031,60.333332,21,27731,47,1,,1762,94.33,93.07,3.3,96.89,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T13:57:18.034Z","2019-10-02T13:57:18.034Z"
"74426.1562","Collinsella aerofaciens strain S10B.meta.bin_3",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S10B.meta.bin_3",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316711","GCA_008668235.1",,"RQCP00000000","The University of Queensland","WGS","Illumina NextSeq","34x","Megahit v. 1.1.2",,,67,1980618,60.109116,10,51823,46,,,1741,94.39,93.85,0.92,95.03,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T14:01:36.610Z","2019-10-02T14:01:36.610Z"
"74426.1563","Collinsella aerofaciens strain S10A.meta.bin_4",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S10A.meta.bin_4",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316704","GCA_008668315.1",,"RQCI00000000","The University of Queensland","WGS","Illumina NextSeq","53x","Megahit v. 1.1.2",,,68,1986754,60.137844,11,54530,50,,,1755,95.3,94.45,1.83,97.2,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T14:02:11.557Z","2019-10-02T14:02:11.557Z"
"74426.1564","Collinsella aerofaciens strain S09C.meta.bin_5",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S09C.meta.bin_5",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316694","GCA_008668585.1",,"RQBY00000000","The University of Queensland","WGS","Illumina NextSeq","131x","Megahit v. 1.1.2",,,230,2244932,59.96066,45,14659,46,1,,2164,93.49,90.66,8.78,94.1,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T14:06:18.361Z","2019-10-02T14:06:18.361Z"
"74426.1565","Collinsella aerofaciens strain S09A.meta.bin_9",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S09A.meta.bin_9",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316682","GCA_008668795.1",,"RQBM00000000","The University of Queensland","WGS","Illumina NextSeq","175x","Megahit v. 1.1.2",,,252,2231031,59.701458,54,11829,49,2,,2143,92.34,90.05,7.47,94.41,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T14:09:15.586Z","2019-10-02T14:09:15.586Z"
"74426.1566","Collinsella aerofaciens strain S08A.meta.bin_4",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S08A.meta.bin_4",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316647","GCA_008669145.1",,"RQAD00000000","The University of Queensland","WGS","Illumina NextSeq","36x","Megahit v. 1.1.2",,,45,2160486,59.831306,10,66109,49,,,1921,94.7,94.09,,99.69,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T14:12:45.276Z","2019-10-02T14:12:45.276Z"
"74426.1567","Collinsella aerofaciens strain S08C.meta.bin_2",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S08C.meta.bin_2",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316665","GCA_008670995.1",,"RQAV00000000","The University of Queensland","WGS","Illumina NextSeq","29x","Megahit v. 1.1.2",,,52,2137467,59.90366,13,53948,54,,,1903,94.88,94.27,,99.69,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T14:15:35.155Z","2019-10-02T14:15:35.155Z"
"74426.1568","Collinsella aerofaciens strain S08B.meta.bin_6",,74426,"131567;2;1783272;201174;84998;84999;84107;102106;74426","cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens","Bacteria","Bacillati","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","WGS","S08B.meta.bin_6",,,,,,,,,,,,,,,,,,,,"Good","2019-09-23T00:00:00Z","31384000",,"PRJNA492716","SAMN10316659","GCA_008671135.1",,"RQAP00000000","The University of Queensland","WGS","Illumina NextSeq","46x","Megahit v. 1.1.2",,,50,2185598,59.937325,13,61464,50,2,,1940,95,94.27,,99.69,,"feces",,"2017",2017,,"Australia",,,,"Oceania","Australia: Brisbane",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Human fecal samples were collected to find links between bacteria and their bacteriophages","2019-10-02T14:17:28.124Z","2019-10-02T14:17:28.124Z"
