Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1352.15165,Enterococcus faecium 02-MB2458,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,02-MB2458,,,,MLST.Enterococcus_faecium.17,,,,,,,,,,,,genotype:ST 17,,,,Good,2022-12-02T00:00:00Z,35155713,,PRJNA665052,SAMN16506588,GCA_026620695.1,,JAOCWB000000000,,,Illumina HiSeq,387.6571126x,SPAdes v. 3.14.0,,,239,2944361,37.6427,23,33951,56,5,,3036,98.7,96.7,,100,,blood,,7/29/16,2016,,USA,Texas,,,North America,USA: Houston,,Homo sapiens,Human,,,Enterococcal bacteremia,Human,,,,collected_by:MD Anderson Cancer Center,,2022-12-26T20:10:12.014Z,2022-12-26T20:10:12.014Z
1352.15243,Enterococcus faecium 05-MB2471,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,05-MB2471,,,,,,,,,,,,,,,,genotype:ST Novel,,,,Good,2022-12-02T00:00:00Z,35155713,,PRJNA665052,SAMN16506663,GCA_026622215.1,,JAOCYY000000000,,,Illumina MiSeq,307.2823554x,SPAdes v. 3.14.0,,,52,2696729,38.120773,9,110578,60,10,,2667,98.8,97.3,,100,,blood,,8/1/16,2016,,USA,Texas,,,North America,USA: Houston,,Homo sapiens,Human,,,Enterococcal bacteremia,Human,,,,collected_by:MD Anderson Cancer Center,,2022-12-26T21:00:19.583Z,2022-12-26T21:00:19.583Z
1352.15166,Enterococcus faecium 08-MB2516A,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,08-MB2516A,,,,MLST.Enterococcus_faecium.71,,,,,,,,,,,,genotype:ST 71,,,,Good,2022-12-02T00:00:00Z,35155713,,PRJNA665052,SAMN16506589,GCA_026620715.1,,JAOCWC000000000,,,Illumina HiSeq,379.3339287x,SPAdes v. 3.14.0,,,72,2697804,37.962914,10,92588,56,3,,2785,98.8,97.6,,100,,blood,,8/15/16,2016,,USA,Texas,,,North America,USA: Houston,,Homo sapiens,Human,,,Enterococcal bacteremia,Human,,,,collected_by:MD Anderson Cancer Center,,2022-12-26T20:09:56.141Z,2022-12-26T20:09:56.141Z
1391465.3,Enterococcus faecium 10/96A,,1391465,131567;2;1783272;1239;91061;186826;81852;1350;1352;1391465,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium;Enterococcus faecium 10/96A,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,10/96A,,,,MLST.Enterococcus_faecium.281,,,,,,,,,,,,, ,,,Good,2013-10-22T00:00:00Z,,,PRJNA216992,SAMN02333862,GCA_000479165.1,"SRR959385,SRR959386",AXOL00000000,Broad Institute,WGS,Illumina,149.0x,allpaths v. R46513,,,114,3343763,37.9,13,92201,79,9,,3460,98.5,96.9,0.9,100,,Blood,,1996,1996,,Brazil,,,,South America,Brazil,,"Human, Homo sapiens",Human,,,,Human,,,,,Enterococcus II,2014-12-08T22:11:15.508Z,2015-03-16T03:17:09.594Z
1352.19036,Enterococcus faecium 1001,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,1001,,,,MLST.Enterococcus_faecium.80,,,,,,,,,,,,,,,,Good,2024-07-25T00:00:00Z,,,PRJNA1124050,SAMN41837382,GCA_040884205.1,,JBELMR000000000,,,Complete Genomics,30x,SPAdes v. 3.15.3,,,20,3188186,37.682808,1,2740891,71,21,,3227,98.6,96.9,,100,,urine,,2022,2022,,Italy,,,,Europe,Italy,,Homo sapiens,Human,,,,Human,,,,sample_type:Bacterial strain,,2024-12-05T23:42:56.813Z,2024-12-05T23:42:56.813Z
1352.17608,Enterococcus faecium 1001095IJ_161003_B12,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,1001095IJ_161003_B12,,,,MLST.Enterococcus_faecium.94,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532743,GCA_015549905.1,,JADMZV000000000,,,Illumina HiSeq,28.83x,SPAdes v. 3.10.1,,,54,2650643,38.302002,7,135103,60,4,,2640,98.9,97.6,,100,,stool,,10/3/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:24:28.608Z,2024-02-12T14:24:28.608Z
1352.17604,Enterococcus faecium 1001136B_160425_C7,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,1001136B_160425_C7,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533208,GCA_015546985.1,,JADMUE000000000,,,Illumina HiSeq,69.12x,SPAdes v. 3.10.1,,,161,2722386,37.989906,21,31116,64,3,,2828,99,97.9,,100,,stool,,4/25/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:19:38.603Z,2024-02-12T14:19:38.603Z
1352.17614,Enterococcus faecium 1001254J_160919_A11,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,1001254J_160919_A11,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532762,GCA_015554935.1,,JADNJP000000000,,,Illumina HiSeq,69.66x,SPAdes v. 3.10.1,,,45,2715603,37.940857,5,173783,58,3,,2721,98.8,97.6,,100,,stool,,9/19/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:33:35.886Z,2024-02-12T14:33:35.886Z
1352.17613,Enterococcus faecium 1001254J_160919_F10,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,1001254J_160919_F10,,,,MLST.Enterococcus_faecium.286,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15533216,GCA_015554345.1,,JADNII000000000,,,Illumina HiSeq,72.65x,SPAdes v. 3.10.1,,,79,2602841,38.14391,12,73058,63,3,,2669,98.7,97.6,,100,,stool,,9/19/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:32:09.800Z,2024-02-12T14:32:09.800Z
1352.17609,Enterococcus faecium 1001271B_151109_G2,,1352,131567;2;1783272;1239;91061;186826;81852;1350;1352,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,WGS,1001271B_151109_G2,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532888,GCA_015550935.1,,JADNBT000000000,,,Illumina HiSeq,11.87x,SPAdes v. 3.10.1,,,72,2728752,38.174812,8,82301,43,3,,2757,99,97.7,,100,,stool,,11/9/15,2015,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:27:01.797Z,2024-02-12T14:27:01.797Z
