accession,status,fasta,size_bytes,message
GCA_002885105.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885105.1/GCA_002885105.1_genomic.fna,2732236,
GCA_002885195.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885195.1/GCA_002885195.1_genomic.fna,2785607,
GCA_002884995.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002884995.1/GCA_002884995.1_genomic.fna,3230639,
GCA_002885235.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885235.1/GCA_002885235.1_genomic.fna,2880566,
GCA_002885135.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885135.1/GCA_002885135.1_genomic.fna,2694885,
GCA_002885265.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885265.1/GCA_002885265.1_genomic.fna,2797066,
GCA_002885295.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885295.1/GCA_002885295.1_genomic.fna,2898244,
GCA_002885215.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885215.1/GCA_002885215.1_genomic.fna,2789403,
GCA_002885355.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885355.1/GCA_002885355.1_genomic.fna,2895935,
GCA_002885165.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885165.1/GCA_002885165.1_genomic.fna,2806204,
GCA_002885395.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885395.1/GCA_002885395.1_genomic.fna,2826749,
GCA_002885255.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885255.1/GCA_002885255.1_genomic.fna,2861461,
GCA_002884915.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002884915.1/GCA_002884915.1_genomic.fna,3047976,
GCA_002884975.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002884975.1/GCA_002884975.1_genomic.fna,2939059,
GCA_002885465.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885465.1/GCA_002885465.1_genomic.fna,2714452,
GCA_002885015.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885015.1/GCA_002885015.1_genomic.fna,3154620,
GCA_002885095.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885095.1/GCA_002885095.1_genomic.fna,3136943,
GCA_002885025.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885025.1/GCA_002885025.1_genomic.fna,3208952,
GCA_002885425.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885425.1/GCA_002885425.1_genomic.fna,2743729,
GCA_002885415.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885415.1/GCA_002885415.1_genomic.fna,2707500,
GCA_002885515.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885515.1/GCA_002885515.1_genomic.fna,3238986,
GCA_002885675.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885675.1/GCA_002885675.1_genomic.fna,2826694,
GCA_002885575.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885575.1/GCA_002885575.1_genomic.fna,2921508,
GCA_002885375.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885375.1/GCA_002885375.1_genomic.fna,2857452,
GCA_002885055.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885055.1/GCA_002885055.1_genomic.fna,3217978,
GCA_002885155.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885155.1/GCA_002885155.1_genomic.fna,2831553,
GCA_004015025.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015025.1/GCA_004015025.1_genomic.fna,2798947,
GCA_002885315.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885315.1/GCA_002885315.1_genomic.fna,2755257,
GCA_002885695.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885695.1/GCA_002885695.1_genomic.fna,2755268,
GCA_004015045.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015045.1/GCA_004015045.1_genomic.fna,2798933,
GCA_004015105.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015105.1/GCA_004015105.1_genomic.fna,2758384,
GCA_004015005.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015005.1/GCA_004015005.1_genomic.fna,2798464,
GCA_002885615.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885615.1/GCA_002885615.1_genomic.fna,2806761,
GCA_002885535.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885535.1/GCA_002885535.1_genomic.fna,3184403,
GCA_004015285.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015285.1/GCA_004015285.1_genomic.fna,2798597,
GCA_004015225.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015225.1/GCA_004015225.1_genomic.fna,2804855,
GCA_004015125.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015125.1/GCA_004015125.1_genomic.fna,2758296,
GCA_004101765.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004101765.1/GCA_004101765.1_genomic.fna,2855251,
GCA_004015305.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015305.1/GCA_004015305.1_genomic.fna,2804807,
GCA_004015245.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015245.1/GCA_004015245.1_genomic.fna,2834505,
GCA_004104435.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004104435.1/GCA_004104435.1_genomic.fna,2896242,
GCA_002885595.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885595.1/GCA_002885595.1_genomic.fna,2883453,
GCA_004015065.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015065.1/GCA_004015065.1_genomic.fna,2798823,
GCA_004168105.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004168105.1/GCA_004168105.1_genomic.fna,2810858,
GCA_008422635.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422635.1/GCA_008422635.1_genomic.fna,2788096,
GCA_002885625.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885625.1/GCA_002885625.1_genomic.fna,2823053,
GCA_004015205.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015205.1/GCA_004015205.1_genomic.fna,2804781,
GCA_008000975.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008000975.1/GCA_008000975.1_genomic.fna,2697425,
GCA_008422685.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422685.1/GCA_008422685.1_genomic.fna,2793021,
GCA_008422705.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422705.1/GCA_008422705.1_genomic.fna,2828433,
GCA_008422765.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422765.1/GCA_008422765.1_genomic.fna,2791004,
GCA_008422715.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422715.1/GCA_008422715.1_genomic.fna,2789007,
GCA_008422665.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422665.1/GCA_008422665.1_genomic.fna,2788763,
GCA_008422795.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422795.1/GCA_008422795.1_genomic.fna,2789504,
GCA_004015265.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015265.1/GCA_004015265.1_genomic.fna,2859423,
GCA_004015085.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015085.1/GCA_004015085.1_genomic.fna,2804833,
GCA_008422695.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422695.1/GCA_008422695.1_genomic.fna,2789075,
GCA_008422815.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422815.1/GCA_008422815.1_genomic.fna,2789031,
GCA_008422865.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422865.1/GCA_008422865.1_genomic.fna,2789570,
GCA_008422615.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422615.1/GCA_008422615.1_genomic.fna,2787844,
GCA_004015345.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015345.1/GCA_004015345.1_genomic.fna,2758288,
GCA_002885655.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_002885655.1/GCA_002885655.1_genomic.fna,2876156,
GCA_008422775.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422775.1/GCA_008422775.1_genomic.fna,2789857,
GCA_008422885.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422885.1/GCA_008422885.1_genomic.fna,2953631,
GCA_008422895.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422895.1/GCA_008422895.1_genomic.fna,2789647,
GCA_008423095.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423095.1/GCA_008423095.1_genomic.fna,2788435,
GCA_008422925.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422925.1/GCA_008422925.1_genomic.fna,2788692,
GCA_008423065.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423065.1/GCA_008423065.1_genomic.fna,2789173,
GCA_008422965.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422965.1/GCA_008422965.1_genomic.fna,2788702,
GCA_008422995.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422995.1/GCA_008422995.1_genomic.fna,2813969,
GCA_008422875.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422875.1/GCA_008422875.1_genomic.fna,2789438,
GCA_008423215.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423215.1/GCA_008423215.1_genomic.fna,2823430,
GCA_008423115.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423115.1/GCA_008423115.1_genomic.fna,2788738,
GCA_008423035.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423035.1/GCA_008423035.1_genomic.fna,2816517,
GCA_008423015.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423015.1/GCA_008423015.1_genomic.fna,2789296,
GCA_008423275.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423275.1/GCA_008423275.1_genomic.fna,2820281,
GCA_008422805.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422805.1/GCA_008422805.1_genomic.fna,2789320,
GCA_008423135.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423135.1/GCA_008423135.1_genomic.fna,2798629,
GCA_008423175.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423175.1/GCA_008423175.1_genomic.fna,3203400,
GCA_008423085.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423085.1/GCA_008423085.1_genomic.fna,3162166,
GCA_008422985.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008422985.1/GCA_008422985.1_genomic.fna,2788856,
