Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1263034.3","Akkermansia muciniphila CAG:154",,1263034,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935;1263034","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;Akkermansia muciniphila CAG","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","MGS:154",,,,,,,,,,,,,,,,,,,,"Good","2013-05-31T00:00:00Z",,,"PRJEB726","SAMEA3138704","GCF_000436395.1",,"CBDW000000000","DTU","WGS",,,,,,81,2721828,55.38,9,74342,46,1,,2789,99.8,98.4,0.6,100,,"396 human stool samples we identified 7,381 such MetaGenomic Species","derived from 396 human stool samples we identified 7,381 such MetaGenomic Species",,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"Metagenomic data acquired by deep sequencing is immensely complex, lacks apparent structure and is typically dominated by unknown species. Using an abundance co-variance strategy, we group highly co-varying genes into MetaGenomic Species, which represent a wide range of biological entities: bacterial genomes, plasmids, genomic islands, clonal variation and bacteriophages. Applying this concept to a new 3.9 million microbial gene catalogue derived from 396 human stool samples we identified 7,381 such MetaGenomic Species. They range in size from 3 to 6,319 genes, with 741 MetaGenomic Species resembling bacterial genomes in number of genes contained. The Meta-Genomic Species displays remarkable consistency in taxonomy and GC content. 247 of the MetaGenomic Species assemblies even pass the HMP high quality draft genome criteria. A large proportion (73%) of the MetaGenomic Species displays no sequence similarity to any previously sequenced organism. Smaller MetaGenomic Species are enriched for genes characteristic for bacteriophages and functions important for biotic interactions and show strong dependencies to gene-rich MetaGenomic Species. We present the first unsupervised structuring of a highly complex series of metagenomic samples into biological entities, including a global analysis of the genetic interdependencies between bacteria, plasmids, phages and genetic islands in the human distal gut.;derived from environmental source","2016-01-17T15:32:41.844Z","2016-01-17T15:32:41.844Z"
"239935.100","Akkermansia muciniphila strain GP40",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","GP40",,,,,,,,,,,,,,,,,,,,"Good","2018-01-16T00:00:00Z","29047329",,"PRJNA331216","SAMN08162532","GCA_002885675.1",,"PJKZ00000000","Shenzhen Puensum Genetech Institute","WGS","Illumina HiSeq","355.7x","Velvet v. 0.7.62",,,12,2790720,55.476494,2,533417,50,3,,2776,100,99.9,,100,,"gut microbiota","derived and 6 mouse-derived isolates","2015",2015,,"China",,,,"Asia","China",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:assembly","Whole-genome sequenced and analyzed 39 new A. muciniphila strains, including 33 human-derived and 6 mouse-derived isolates.","2018-05-25T18:34:45.015Z","2018-05-25T18:34:45.015Z"
"239935.101","Akkermansia muciniphila strain GP28",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","GP28",,,,,,,,,,,,,,,,,,,,"Good","2018-01-16T00:00:00Z","29047329",,"PRJNA331216","SAMN08162530","GCA_002885695.1",,"PJLB00000000","Shenzhen Puensum Genetech Institute","WGS","Illumina HiSeq","416.2x","Velvet v. 0.7.62",,,13,2720086,55.60457,2,757281,50,3,,2711,100,99.7,,100,,"gut microbiota","derived and 6 mouse-derived isolates","2015",2015,,"China",,,,"Asia","China",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:assembly","Whole-genome sequenced and analyzed 39 new A. muciniphila strains, including 33 human-derived and 6 mouse-derived isolates.","2018-05-25T18:34:59.062Z","2018-05-25T18:34:59.062Z"
"239935.2075","Akkermansia muciniphila strain H2",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","H2",,,,,,,,,,,,,,,,,,,,"Good","2019-01-22T00:00:00Z",,,"PRJNA270907","SAMN03278370","GCA_004101765.1",,"CP010553","Wageningen UR","Complete","PAcBio RS2 & Illumina MiSeq","100X","PacBio HGAP SMRT v. 2.2 and Ray assembler",,,1,2819944,55.31832,1,2819944,53,6,,2789,93.79,92.65,0.45,99.7,,"feces",,"2010-11-12",2010,,"Belgium",,,,"Europe","Belgium: Ghent","temperature:37","Human, Homo sapiens","Human","Male","32",,"Human",,,"host_subject_id:#2",,"Akkermansia muciniphila isolation and genome sequencing","2019-07-18T04:09:23.984Z","2019-07-18T04:09:23.984Z"
"239935.2076","Akkermansia muciniphila strain CBA5201",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","CBA5201",,,,,,,,,,,,,,,,,,,,"Good","2019-01-24T00:00:00Z",,,"PRJNA494944","SAMN10186677","GCA_004104435.1",,"CP033388","World Institute of Kimchi","Complete","PacBio RS II","243.51x","PacBio SMRT Analysis v. 2.3.0",,,1,2860407,55.323246,1,2860407,54,6,,2831,93.85,92.95,,99.85,,"human feces",,,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"The genomic data of Akkermansia muciniphila CBA5201 belonging to the family Verrucomicrobiaceae were obtained using the PacBio platform. The complete genome of Akkermansia muciniphila CBA5201 contains, 2,860,407 bp. Detailed genomic analyses and comparative studies with other Akkermansia muciniphila genomes will give further information and insight into the metabolism of Akkermansia muciniphila species.","2019-07-18T04:08:08.474Z","2019-07-18T04:08:08.474Z"
"239935.2077","Akkermansia muciniphila strain am_0171",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","am_0171",,,,,,,,,,,,,,,,,,,,"Good","2019-02-11T00:00:00Z","30630933",,"PRJNA496358","SAMN10239579","GCA_004168105.1",,"RCXB00000000","Broad Institute","WGS","Illumina HiSeq","29.6593x","SPAdes v. 3.9.0",,,41,2772088,55.06339,4,324533,50,2,,2775,93.91,92.95,0.3,99.85,,"stool",,"2015-01",2015,,"USA",,,,"North America","USA: Cambridge",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:OpenBiome Stol","Genomes of 49 bacteria species isolated from stool from healthy individuals","2019-07-18T04:08:09.968Z","2019-07-18T04:08:09.968Z"
"239935.2131","Akkermansia muciniphila strain DSM 22959",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","DSM 22959",,,,,,,,,,,,,,,,,"DSM:22959",,,"Good","2019-08-18T00:00:00Z",,,"PRJNA559704","SAMN12556229","GCA_008000975.1",,"CP042830","Nanjing Agricultural university","Complete","PacBio","120.0x","HGAP v. 3",,,1,2664043,55.762352,1,2664043,53,6,,2579,94.03,93.31,,99.85,,"feces",,"2004-05-14",2004,,"Netherlands",,,,"Europe","Netherlands",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","The whole genome of A. muciniphila cultured in BHI medium","2019-10-01T19:10:26.535Z","2019-10-01T19:10:26.535Z"
"239935.2132","Akkermansia muciniphila strain BIOML-A45",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","BIOML-A45",,,,,,,,,,,,,,,,,,,,"Good","2019-09-16T00:00:00Z","31477907",,"PRJNA544527","SAMN11943045","GCA_008422615.1",,"VVKN00000000","Massachusetts Institute of Technology","WGS","Illumina NextSeq","95.267x","SPAdes v. 3.9.1",,,17,2751592,55.1556,3,383866,51,2,,2714,93.85,92.95,,99.85,,"fecal material",,"2016-05-12",2016,,"USA","Massachusetts",,,"North America","USA:Boston",,"Human, Homo sapiens","Human",,,,"Human",,,,,"We introduce a comprehensive library of human gut bacteria: a library of 7,758 bacterial isolates, characterized by 16S sanger sequences, which were obtained from healthy FMT donors recruited in the Boston area. This library covers most of the phylogenetic diversity found in the human gut and contains extensive strain diversity. Isolates can be requested at this address: XXX.We report Whole Genome Sequences (WGSs) for a phylogenetically-comprehensive subset of these isolates, representing a library of 3,632 WGSs, to enable researchers to test and predict phenotypes in vitro and in vivo. We also provide longitudinal 16S (1,169 samples from 90 donors), metagenomic (564 samples from 84 donors) and metabolomic data (179 samples from 83 donors) for a large cohort of FMT donors.","2019-10-02T08:59:57.801Z","2019-10-02T08:59:57.801Z"
"239935.2133","Akkermansia muciniphila strain BIOML-A44",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","BIOML-A44",,,,,,,,,,,,,,,,,,,,"Good","2019-09-16T00:00:00Z","31477907",,"PRJNA544527","SAMN11943044","GCA_008422635.1",,"VVKM00000000","Massachusetts Institute of Technology","WGS","Illumina NextSeq","192.631x","SPAdes v. 3.9.1",,,22,2751304,55.151707,4,324533,51,1,,2724,93.85,92.89,,99.85,,"fecal material",,"2016-05-12",2016,,"USA","Massachusetts",,,"North America","USA:Boston",,"Human, Homo sapiens","Human",,,,"Human",,,,,"We introduce a comprehensive library of human gut bacteria: a library of 7,758 bacterial isolates, characterized by 16S sanger sequences, which were obtained from healthy FMT donors recruited in the Boston area. This library covers most of the phylogenetic diversity found in the human gut and contains extensive strain diversity. Isolates can be requested at this address: XXX.We report Whole Genome Sequences (WGSs) for a phylogenetically-comprehensive subset of these isolates, representing a library of 3,632 WGSs, to enable researchers to test and predict phenotypes in vitro and in vivo. We also provide longitudinal 16S (1,169 samples from 90 donors), metagenomic (564 samples from 84 donors) and metabolomic data (179 samples from 83 donors) for a large cohort of FMT donors.","2019-10-02T09:00:20.790Z","2019-10-02T09:00:20.790Z"
"239935.2134","Akkermansia muciniphila strain BIOML-A43",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","BIOML-A43",,,,,,,,,,,,,,,,,,,,"Good","2019-09-16T00:00:00Z","31477907",,"PRJNA544527","SAMN11943043","GCA_008422665.1",,"VVKL00000000","Massachusetts Institute of Technology","WGS","Illumina NextSeq","156.87x","SPAdes v. 3.9.1",,,20,2752176,55.156124,4,324533,50,2,,2713,93.85,92.89,,99.85,,"fecal material",,"2016-05-12",2016,,"USA","Massachusetts",,,"North America","USA:Boston",,"Human, Homo sapiens","Human",,,,"Human",,,,,"We introduce a comprehensive library of human gut bacteria: a library of 7,758 bacterial isolates, characterized by 16S sanger sequences, which were obtained from healthy FMT donors recruited in the Boston area. This library covers most of the phylogenetic diversity found in the human gut and contains extensive strain diversity. Isolates can be requested at this address: XXX.We report Whole Genome Sequences (WGSs) for a phylogenetically-comprehensive subset of these isolates, representing a library of 3,632 WGSs, to enable researchers to test and predict phenotypes in vitro and in vivo. We also provide longitudinal 16S (1,169 samples from 90 donors), metagenomic (564 samples from 84 donors) and metabolomic data (179 samples from 83 donors) for a large cohort of FMT donors.","2019-10-02T09:00:47.100Z","2019-10-02T09:00:47.100Z"
"239935.2135","Akkermansia muciniphila strain BIOML-A39",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","BIOML-A39",,,,,,,,,,,,,,,,,,,,"Good","2019-09-16T00:00:00Z","31477907",,"PRJNA544527","SAMN11943039","GCA_008422685.1",,"VVKH00000000","Massachusetts Institute of Technology","WGS","Illumina NextSeq","249.099x","SPAdes v. 3.9.1",,,24,2755956,55.138985,4,324533,49,2,,2730,93.85,92.83,,99.85,,"fecal material",,"2016-05-12",2016,,"USA","Massachusetts",,,"North America","USA:Boston",,"Human, Homo sapiens","Human",,,,"Human",,,,,"We introduce a comprehensive library of human gut bacteria: a library of 7,758 bacterial isolates, characterized by 16S sanger sequences, which were obtained from healthy FMT donors recruited in the Boston area. This library covers most of the phylogenetic diversity found in the human gut and contains extensive strain diversity. Isolates can be requested at this address: XXX.We report Whole Genome Sequences (WGSs) for a phylogenetically-comprehensive subset of these isolates, representing a library of 3,632 WGSs, to enable researchers to test and predict phenotypes in vitro and in vivo. We also provide longitudinal 16S (1,169 samples from 90 donors), metagenomic (564 samples from 84 donors) and metabolomic data (179 samples from 83 donors) for a large cohort of FMT donors.","2019-10-02T09:01:27.529Z","2019-10-02T09:01:27.529Z"
