Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
748224.3,Faecalibacterium cf. prausnitzii KLE1255,,748224,131567;2;1783272;1239;186801;186802;216572;216851;853;748224,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii;Faecalibacterium cf. prausnitzii KLE1255,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,KLE1255,,,,,,,,,,,,,,,,,BEI Shipping,,,Good,2010-10-26T00:00:00Z,,,PRJNA46809,SAMN00189147,GCA_000166035.1,"SRR088886,SRR089473",AECU00000000,Washington University Genome Center,WGS,Illumina,65x,Velvet v. 0.7.57,,,139,2928734,56.27,8,135867,53,4,,2783,98.4,97,2.6,98.7,,,,,,,,,,,,,,"Human, Homo sapiens",Human,,,,Human,,,,,Reference genome for the Human Microbiome Project,2014-12-08T22:11:37.539Z,2015-03-16T03:17:09.594Z
853.9734,Faecalibacterium prausnitzii 08-1_05,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,08-1_05,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245472,,,JBKSOP000000000,,,Illumina NextSeq,188.7355007945317x,SPAdes v. 3.14.0,,,60,3256006,57.06002,9,132251,64,3,,3620,98.5,97.3,0.8,99.5,,infant stool,,3/26/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-1,sample_type:metagenomic assembly,,2025-04-18T21:50:00.727Z,2025-04-18T21:50:00.727Z
853.9735,Faecalibacterium prausnitzii 08-2_02,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,08-2_02,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245519,,,JBKSSD000000000,,,Illumina NextSeq,106.14793373878196x,SPAdes v. 3.14.0,,,29,2993063,57.403698,6,226022,66,6,,3172,98.4,97.5,0.5,99.7,,infant stool,,12/28/10,2010,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T21:56:01.373Z,2025-04-18T21:56:01.373Z
853.9736,Faecalibacterium prausnitzii 08-2_08,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,08-2_08,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245525,,,JBKSSM000000000,,,Illumina NextSeq,158.19397979332112x,SPAdes v. 3.14.0,,,114,3469150,56.22078,9,142510,68,4,,3987,98.4,97.1,1,100,,infant stool,,3/26/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T21:58:49.720Z,2025-04-18T21:58:49.720Z
853.9737,Faecalibacterium prausnitzii 08-2_22,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,08-2_22,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247593,,,JBKSTI000000000,,,Illumina NextSeq,25.792403413422523x,SPAdes v. 3.14.0,,,56,2277128,59.498604,8,87579,52,6,,2254,97,93.7,8.8,92.8,,infant stool,,12/18/12,2012,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T21:59:40.720Z,2025-04-18T21:59:40.720Z
853.9738,Faecalibacterium prausnitzii 08-2_37,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,08-2_37,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247608,,,JBKSUF000000000,,,Illumina NextSeq,72.27854613x,SPAdes v. 3.14.0,,,40,2064290,59.324505,7,111735,44,3,,2069,95.2,94.4,0.6,89.7,,infant stool,,11/11/17,2017,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:08-2,sample_type:metagenomic assembly,,2025-04-18T22:00:25.495Z,2025-04-18T22:00:25.495Z
853.9791,Faecalibacterium prausnitzii 11,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,11,,,,,,,,,,,,,,,,,,,,Good,2025-03-02T00:00:00Z,,,PRJNA1197397,SAMN45804253,,,JBLVPD000000000,,,Illumina MiSeq,180x,SPAdes v. 4.0,,,62,3305111,55.86375,9,91041,78,17,,3548,98.2,96.5,4.7,99,,"large intestine (feces) of a healthy full-term male child, 11 months of life, born naturally, who did not receive antibiotics",,3/29/24,2024,,Russia,,,,Europe,Russia: Moscow,,Homo sapiens,Human,,,,Human,,,,"sample_type:cell culture;collected_by:National Medical Research Center for Obstetrics, Gynecology and Perinatology named after Academician V.I. Kulakov of Ministry of Healthcare of Russian Federation, Vavilov Institute of General Genetics, Tatiana V. Priputnevich, Kseniya N. Zhigalova, Vera V. Muravieva, Dalyal H. Bazukheyr, Aleksey A. Vatlin, Valery N. Danilenko",,2025-04-23T21:03:37.278Z,2025-04-23T21:03:37.278Z
853.9675,Faecalibacterium prausnitzii 14-1_79,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,14-1_79,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245649,,,JBKTAM000000000,,,Oxford Nanopore MinION,27.279957580040374x,Flye v. 2.8.1,,,10,2967471,56.529346,3,621694,64,12,,3071,98.3,96.9,2,99.7,,infant stool,,12/31/17,2017,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:14-1,sample_type:metagenomic assembly,,2025-02-03T19:56:43.653Z,2025-02-03T19:56:43.653Z
853.9745,Faecalibacterium prausnitzii 14-2_46,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,14-2_46,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247738,,,JBKTUN000000000,,,Illumina NextSeq,38.13291153099408x,SPAdes v. 3.14.0,,,28,2466084,58.77325,5,234958,47,,,2484,96.1,94.3,2.1,96.7,,infant stool,,12/29/17,2017,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:14-2,sample_type:metagenomic assembly,,2025-04-18T22:34:37.254Z,2025-04-18T22:34:37.254Z
853.9747,Faecalibacterium prausnitzii 17-1_29,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,17-1_29,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43247782,,,JBKTWU000000000,,,Illumina NextSeq,148.42586639781504x,SPAdes v. 3.14.0,,,75,3538011,56.926052,6,176110,42,5,,3667,97.9,97.1,1.8,97.4,,infant stool,,4/11/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:17-1,sample_type:metagenomic assembly,,2025-04-18T22:47:25.283Z,2025-04-18T22:47:25.283Z
853.9746,Faecalibacterium prausnitzii 17-1_73,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,17-1_73,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43245812,,,JBKTWD000000000,,,Illumina NextSeq,52.560803674889286x,SPAdes v. 3.14.0,,,52,3234492,57.092976,7,182376,52,7,,3423,97.9,97.1,0.5,99.7,,infant stool,,1/15/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:17-1,sample_type:metagenomic assembly,,2025-04-18T22:42:00.316Z,2025-04-18T22:42:00.316Z
853.9676,Faecalibacterium prausnitzii 17-2_38,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,17-2_38,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43245854,,,JBKUEC000000000,,,Illumina NextSeq,69.25360059856747x,SPAdes v. 3.14.0,,,44,2360302,58.987007,7,153010,48,3,,2384,97.9,96.5,1.3,96.7,,infant stool,,1/13/13,2013,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:17-2,sample_type:metagenomic assembly,,2025-02-03T20:22:17.853Z,2025-02-03T20:22:17.853Z
853.9677,Faecalibacterium prausnitzii 17-2_70,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,17-2_70,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43245886,,,JBKUBL000000000,,,Illumina NextSeq,407.2593577386415x,SPAdes v. 3.14.0,,,35,3421660,56.389492,3,290984,64,9,,3676,98.1,97.2,0.5,100,,infant stool,,2/5/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:17-2,sample_type:metagenomic assembly,,2025-02-03T20:26:32.405Z,2025-02-03T20:26:32.405Z
853.9739,Faecalibacterium prausnitzii 19-1_04,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,19-1_04,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43245898,,,JBKTCZ000000000,,,Illumina NextSeq,413.10680414x,SPAdes v. 3.14.0,,,33,3063280,57.234524,6,203541,64,2,,3297,98.2,97.2,0.5,100,,infant stool,,2/14/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:19-1,sample_type:metagenomic assembly,,2025-04-18T22:10:57.130Z,2025-04-18T22:10:57.130Z
853.974,Faecalibacterium prausnitzii 19-1_38,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,19-1_38,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43247928,,,JBKTGE000000000,,,Illumina NextSeq,19.899909682352835x,SPAdes v. 3.14.0,,,63,3321610,56.246742,6,155666,68,2,,3407,98.8,96.6,7.4,100,,infant stool,,3/12/18,2018,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:19-1,sample_type:metagenomic assembly,,2025-04-18T22:16:35.399Z,2025-04-18T22:16:35.399Z
853.9741,Faecalibacterium prausnitzii 19-2_09,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,19-2_09,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43245989,,,JBKTIM000000000,,,Oxford Nanopore MinION,150.5071868401225x,Flye v. 2.8.1,,,1,3160151,57.048508,1,3160151,70,12,,3402,98.2,97.2,0.5,100,,infant stool,,2/11/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:19-2,sample_type:metagenomic assembly,,2025-04-18T22:18:22.289Z,2025-04-18T22:18:22.289Z
853.9742,Faecalibacterium prausnitzii 20-1_03,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,20-1_03,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43246048,,,JBKTNV000000000,,,Illumina NextSeq,114.53820341664384x,SPAdes v. 3.14.0,,,52,3298383,57.37414,6,240998,61,3,,3504,98.2,97.3,1,98.2,,infant stool,,3/30/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:20-1,sample_type:metagenomic assembly,,2025-04-18T22:23:34.815Z,2025-04-18T22:23:34.815Z
853.9743,Faecalibacterium prausnitzii 20-1_18,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,20-1_18,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43246063,,,JBKTOY000000000,,,Illumina NextSeq,33.11241082844878x,SPAdes v. 3.14.0,,,46,2354871,58.519615,7,121233,42,1,,2375,96.1,94,,54.2,,infant stool,,4/3/13,2013,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:20-1,sample_type:metagenomic assembly,,2025-04-18T22:24:10.167Z,2025-04-18T22:24:10.167Z
853.9744,Faecalibacterium prausnitzii 20-1_28,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,20-1_28,,,,,,,,,,,,,,,,,,,,Good,2025-01-21T00:00:00Z,,,PRJNA1060349,SAMN43246073,,,JBKTPS000000000,,,Illumina NextSeq,44.78540046x,SPAdes v. 3.14.0,,,18,2408295,57.765484,3,192358,48,,,2337,96.8,96.1,0.3,94.4,,infant stool,,4/3/13,2013,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:20-1,sample_type:metagenomic assembly,,2025-04-18T22:24:26.511Z,2025-04-18T22:24:26.511Z
853.9682,Faecalibacterium prausnitzii 20-2_04,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,20-2_04,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43248096,,,JBKUWF000000000,,,Illumina NextSeq,151.27994298055435x,SPAdes v. 3.14.0,,,15,3075991,57.759266,2,811945,61,5,,3247,98.3,97.3,1.3,99.7,,infant stool,,3/29/11,2011,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:20-2,sample_type:metagenomic assembly,,2025-02-03T20:43:54.264Z,2025-02-03T20:43:54.264Z
853.9681,Faecalibacterium prausnitzii 20-2_40,,853,131567;2;1783272;1239;186801;186802;216572;216851;853,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,WGS,20-2_40,,,,,,,,,,,,,,,,,,,,Good,2025-01-22T00:00:00Z,,,PRJNA1060349,SAMN43248132,,,JBKUTT000000000,,,Illumina NextSeq,76.52462617142706x,SPAdes v. 3.14.0,,,76,2494927,57.38195,6,102639,53,4,,2504,96.8,95.2,3.7,94.6,,infant stool,,3/29/12,2012,,USA,,,,North America,USA: Saint Louis,,Homo sapiens,Human,,,,Human,,,host_subject_id:20-2,sample_type:metagenomic assembly,,2025-02-03T20:40:35.965Z,2025-02-03T20:40:35.965Z
