Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
742820.3,Streptococcus anginosus 1_2_62CV,,742820,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328;742820,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus;Streptococcus anginosus 1_2_62CV,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1_2_62CV,,,,,,,,,,,,,,,,,,,,Good,2011-01-21T00:00:00Z,,,PRJNA46427,SAMN02463868,GCA_000186545.1,,ADME00000000,Broad Institute,WGS,454,61x,Newbler v. 2.1-PreRelease-4/28/2009,,,7,1821055,38.69,1,1137758,61,3,,1810,99.3,98.9,0.3,98.3,,,"Emma Allen-Vercoe, University of Guelph",,,,,,,,,,,"Human, Homo sapiens",Human,,,,Human,,,,,Streptococcus anginosus 1_2_62CV.Reference genome for the Human Microbiome Project.,2014-12-08T22:13:29.876Z,2015-03-16T03:17:09.594Z
1328.492,Streptococcus anginosus 1001270st1_C11_1001270J_160509,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1001270st1_C11_1001270J_160509,,,,,,,,,,,,,,,,,,,,Good,2023-01-31T00:00:00Z,,,PRJNA880610,SAMN31322905,GCA_028327075.1,,JAQMKS000000000,,,Illumina HiSeq,39.23022600905747x,SPAdes v. 3.10.1,,,248,1878080,39.06793,52,12037,35,3,,1992,99.3,97.9,6.8,100,,,,5/9/16,2016,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:47:20.427Z,2023-02-15T03:47:20.427Z
1328.487,Streptococcus anginosus 1001295st1_A4_1001295H_181012,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1001295st1_A4_1001295H_181012,,,,,,,,,,,,,,,,,,,,Good,2023-01-30T00:00:00Z,,,PRJNA880610,SAMN31322906,GCA_028326185.1,,JAQMKR000000000,,,Illumina HiSeq,30.66488782678459x,SPAdes v. 3.10.1,,,41,1889624,38.836506,6,97049,41,3,,1896,99.5,99.2,,100,,,,10/12/18,2018,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:46:17.926Z,2023-02-15T03:46:17.926Z
1328.491,Streptococcus anginosus 1001295st1_D2_1001295H_181012,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1001295st1_D2_1001295H_181012,,,,,,,,,,,,,,,,,,,,Good,2023-01-31T00:00:00Z,,,PRJNA880610,SAMN31322907,GCA_028327005.1,,JAQMKQ000000000,,,Illumina HiSeq,93.83383118519389x,SPAdes v. 3.10.1,,,39,1889868,38.8367,6,97049,40,3,,1897,99.5,99.2,,100,,,,10/12/18,2018,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:46:59.799Z,2023-02-15T03:46:59.799Z
1328.593,Streptococcus anginosus 1001713B170131_170501_E6,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1001713B170131_170501_E6,,,,,,,,,,,,,,,,,,,,Good,2020-11-17T00:00:00Z,,,PRJNA637878,SAMN15532436,GCA_015552775.1,,JADNFL000000000,,,Illumina HiSeq,78.65x,SPAdes v. 3.10.1,,,24,1869669,38.73406,4,159322,43,3,,1855,99.5,99.1,,100,,stool,,5/1/17,2017,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2024-02-12T14:31:16.103Z,2024-02-12T14:31:16.103Z
1328.488,Streptococcus anginosus 1001713st1_H6_1001713B170207_170306,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1001713st1_H6_1001713B170207_170306,,,,,,,,,,,,,,,,,,,,Good,2023-01-30T00:00:00Z,,,PRJNA880610,SAMN31322908,GCA_028326225.1,,JAQMKP000000000,,,Illumina HiSeq,67.82694061942992x,SPAdes v. 3.10.1,,,23,1871043,38.734653,4,159388,43,3,,1872,99.6,99.3,,100,,,,3/6/17,2017,,USA,,,,North America,USA,,Homo sapiens,Human,,,,Human,,,,sample_type:whole organism,,2023-02-15T03:46:15.966Z,2023-02-15T03:46:15.966Z
1328.462,Streptococcus anginosus 100993296213,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1.00993E+11,,,,,,,,,,,,,,,,,,,,Good,2022-12-09T00:00:00Z,,,PRJNA808899,SAMN26134983,GCA_026784025.1,,JAKUZG000000000,,,Illumina MiSeq,256.06x,SPAdes v. 3.13.0,,,27,1797386,38.75683,3,188066,37,3,,1825,99.6,99.1,,100,,blood,,1/1/10,2010,,Denmark,,,,Europe,Denmark: Herlev,,Homo sapiens,Human,,,Infective endocarditis,Human,,,,collected_by:Herlev Hospital,,2022-12-26T22:19:06.605Z,2022-12-26T22:19:06.605Z
1328.651,Streptococcus anginosus 1010st1_D3_1010SCRN_200918,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1010st1_D3_1010SCRN_200918,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376231,GCA_039756975.1,,JBDMPJ000000000,,,Illumina,28.4x,SPAdes v. v3.14.1,,,40,1946110,38.69745,4,148906,40,3,,2133,99.5,98.8,,100,,rich broth,,9/18/20,2020,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-07T17:48:40.122Z,2024-07-07T17:48:40.122Z
1328.652,Streptococcus anginosus 1010st1_E4_1010SCRN_200918,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,1010st1_E4_1010SCRN_200918,,,,,,,,,,,,,,,,,,,,Good,2024-05-22T00:00:00Z,,,PRJNA1093465,SAMN41376232,GCA_039756955.1,,JBDMPI000000000,,,Illumina,28.5x,SPAdes v. v3.14.1,,,39,1949404,38.70377,4,149712,41,3,,2141,99.5,98.7,,100,,rich broth,,9/18/20,2020,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-07-08T01:00:11.181Z,2024-07-08T01:00:11.181Z
1328.62,Streptococcus anginosus 2227st1_D9_2227SCRN_220401,,1328,131567;2;1783272;1239;91061;186826;1300;1301;671232;1328,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus group;Streptococcus anginosus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,WGS,2227st1_D9_2227SCRN_220401,,,,,,,,,,,,,,,,,,,,Good,2024-05-02T00:00:00Z,,,PRJNA1093465,SAMN41062944,GCA_039060165.1,,JBCIZV000000000,,,Illumina,26.8x,SPAdes v. v3.14.1,,,42,1906611,38.795204,7,83422,43,3,,1932,99.5,98.9,,100,,feces,,4/1/22,2022,,USA,,,,North America,USA: New York,,Homo sapiens,Human,,,,Human,,,,,,2024-05-12T20:22:03.872Z,2024-05-12T20:22:03.872Z
