Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1309.707,Streptococcus mutans 01BG6,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,01BG6,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629318,GCA_032380475.1,,JANDXX000000000,,,Illumina MiSeq,83x,SKESA v. 2.4.0,,,14,1997671,36.73703,2,338613,41,3,,2004,99.9,99.6,,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:09:14.628Z,2023-10-30T04:09:14.628Z
1309.708,Streptococcus mutans 01BGb2,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,01BGb2,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629317,GCA_032380575.1,,JANDXW000000000,,,Illumina MiSeq,114x,SKESA v. 2.4.0,,,15,1996158,36.73427,2,338613,40,3,,2002,99.9,99.6,,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:09:23.953Z,2023-10-30T04:09:23.953Z
1309.705,Streptococcus mutans 02BDb3,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,02BDb3,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629319,GCA_032380515.1,,JANDXY000000000,,,Illumina MiSeq,149x,SKESA v. 2.4.0,,,9,2005653,36.738857,1,1101098,38,3,,2015,99.9,99.7,0.1,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:09:20.998Z,2023-10-30T04:09:20.998Z
1309.706,Streptococcus mutans 03GMb4,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,03GMb4,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629320,GCA_032380455.1,,JANDXZ000000000,,,Illumina MiSeq,108x,SKESA v. 2.4.0,,,11,1959017,36.751034,2,476277,39,3,,1953,99.9,99.4,,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:09:16.138Z,2023-10-30T04:09:16.138Z
1309.704,Streptococcus mutans 03MG7,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,03MG7,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629321,GCA_032380415.1,,JANDYA000000000,,,Illumina MiSeq,115x,SKESA v. 2.4.0,,,11,1959203,36.75607,2,476894,39,3,,1951,99.9,99.4,,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:09:04.522Z,2023-10-30T04:09:04.522Z
1309.703,Streptococcus mutans 04BF1,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,04BF1,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629322,GCA_032380375.1,,JANDYB000000000,,,Illumina MiSeq,98x,SKESA v. 2.4.0,,,17,2048478,36.810795,2,503020,38,3,,2071,99.9,99.3,0.4,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:09:22.475Z,2023-10-30T04:09:22.475Z
1309.701,Streptococcus mutans 04BFb1,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,04BFb1,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629323,GCA_032380315.1,,JANDYC000000000,,,Illumina MiSeq,79x,SKESA v. 2.4.0,,,24,2046441,36.80756,4,170171,38,3,,2071,99.9,99.3,0.4,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:08:58.376Z,2023-10-30T04:08:58.376Z
1309.7,Streptococcus mutans 07TF2,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,07TF2,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629324,GCA_032380235.1,,JANDYD000000000,,,Illumina MiSeq,192x,SKESA v. 2.4.0,,,18,2051845,36.601887,4,181892,37,3,,2038,99.9,99.6,,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:08:56.799Z,2023-10-30T04:08:56.799Z
1309.698,Streptococcus mutans 07TFb2,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,07TFb2,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629325,GCA_032380255.1,,JANDYE000000000,,,Illumina MiSeq,105x,SKESA v. 2.4.0,,,20,2051228,36.60027,4,181892,40,3,,2038,99.9,99.6,,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:08:53.530Z,2023-10-30T04:08:53.530Z
1309.702,Streptococcus mutans 08CA2,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,08CA2,,,,,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA853131,SAMN29629326,GCA_032380335.1,,JANDYF000000000,,,Illumina MiSeq,87x,SKESA v. 2.4.0,,,18,2059729,36.59224,3,336203,46,1,,2076,99.8,99.5,,100,,saliva,,2019-2021,,,France,,,,Europe,France: CHU Bordeaux,,Homo sapiens,Human,,,,Human,,,,,,2023-10-30T04:09:25.566Z,2023-10-30T04:09:25.566Z
